Time_Index,GibsonSolar,PutahCreek,Resurgence_Hybrid,WillowSpringsSolar
84,0,0.555,0.558,0.671
85,0,0.541,0.598,0.648
86,0,0.585,0.602,0.657
87,0,0.629,0.583,0.718
88,0,0.507,0.509,0.524
89,0,0.094,0.086,0.088
90,0,0,0,0
91,0,0,0,0
92,0,0,0,0
93,0,0,0,0
94,0,0,0,0
95,0,0,0,0
96,0,0,0,0
97,0,0,0,0
98,0,0,0,0
99,0,0,0,0
100,0,0,0,0
101,0,0,0,0
102,0,0,0,0
103,0,0,0,0
104,0,0,0.151,0.124
105,0,0.176,0.56,0.478
106,0,0.527,0.603,0.162
107,0,0.632,0.601,0.286
108,0,0.509,0.562,0.629
109,0,0.563,0.58,0.254
110,0,0.485,0.642,0.182
111,0,0.415,0.655,0.24
112,0,0.352,0.586,0.099
113,0,0.075,0.1,0.016
114,0,0,0,0
115,0,0,0,0
116,0,0,0,0
117,0,0,0,0
118,0,0,0,0
119,0,0,0,0
120,0,0,0,0
121,0,0,0,0
122,0,0,0,0
123,0,0,0,0
124,0,0,0,0
125,0,0,0,0
126,0,0,0,0
127,0,0,0,0
128,0,0,0.14,0.13
129,0,0.321,0.557,0.588
130,0,0.466,0.618,0.789
131,0,0.469,0.619,0.751
132,0,0.591,0.583,0.699
133,0,0.574,0.562,0.681
134,0,0.618,0.561,0.693
135,0,0.668,0.572,0.773
136,0,0.554,0.432,0.553
137,0,0.043,0.087,0.118
138,0,0,0,0
139,0,0,0,0
140,0,0,0,0
141,0,0,0,0
142,0,0,0,0
143,0,0,0,0
144,0,0,0,0
145,0,0,0,0
146,0,0,0,0
147,0,0,0,0
148,0,0,0,0
149,0,0,0,0
150,0,0,0,0
151,0,0,0,0
152,0,0,0.137,0.122
153,0,0.324,0.561,0.613
154,0,0.647,0.593,0.76
155,0,0.621,0.59,0.639
156,0,0.573,0.559,0.46
157,0,0.373,0.576,0.611
158,0,0.587,0.572,0.742
159,0,0.628,0.567,0.587
160,0,0.515,0.515,0.435
161,0,0.048,0.108,0.09
162,0,0,0,0
163,0,0,0,0
164,0,0,0,0
165,0,0,0,0
166,0,0,0,0
167,0,0,0,0
168,0,0,0,0
169,0,0,0,0
170,0,0,0,0
171,0,0,0,0
172,0,0,0,0
173,0,0,0,0
174,0,0,0,0
175,0,0,0,0
176,0,0,0.131,0
177,0,0.115,0.499,0
178,0,0.287,0.551,0.008
179,0,0.627,0.57,0.036
180,0,0.579,0.539,0.115
181,0,0.566,0.558,0.219
182,0,0.44,0.582,0.268
183,0,0.523,0.569,0.187
184,0,0.512,0.482,0.02
185,0,0.103,0.092,0
186,0,0,0,0
187,0,0,0,0
188,0,0,0,0
189,0,0,0,0
190,0,0,0,0
191,0,0,0,0
192,0,0,0,0
193,0,0,0,0
194,0,0,0,0
195,0,0,0,0
196,0,0,0,0
197,0,0,0,0
198,0,0,0,0
199,0,0,0,0
200,0,0,0.116,0.008
201,0,0.32,0.462,0.551
202,0,0.645,0.504,0.657
203,0,0.641,0.549,0.725
204,0,0.593,0.54,0.744
205,0,0.577,0.575,0.717
206,0,0.622,0.569,0.735
207,0,0.664,0.503,0.627
208,0,0.566,0.442,0.152
209,0,0.119,0.087,0.028
210,0,0,0,0
211,0,0,0,0
212,0,0,0,0
213,0,0,0,0
214,0,0,0,0
215,0,0,0,0
216,0,0,0,0
217,0,0,0,0
218,0,0,0,0
219,0,0,0,0
220,0,0,0,0
221,0,0,0,0
222,0,0,0,0
223,0,0,0,0
224,0,0,0.129,0.11
225,0,0.321,0.536,0.301
226,0,0.641,0.601,0.227
227,0,0.606,0.623,0.178
228,0,0.434,0.577,0.074
229,0,0.548,0.588,0.071
230,0,0.219,0.604,0.043
231,0,0.322,0.595,0.025
232,0,0.153,0.49,0.007
233,0,0.018,0.105,0.048
234,0,0,0,0
235,0,0,0,0
236,0,0,0,0
237,0,0,0,0
238,0,0,0,0
239,0,0,0,0
240,0,0,0,0
241,0,0,0,0
242,0,0,0,0
243,0,0,0,0
244,0,0,0,0
245,0,0,0,0
246,0,0,0,0
247,0,0,0,0
248,0,0,0.128,0.163
249,0,0.009,0.511,0.633
250,0,0.027,0.614,0.686
251,0,0.077,0.622,0.441
252,0,0.056,0.596,0.308
253,0,0.413,0.619,0.649
254,0,0.393,0.61,0.424
255,0,0.502,0.6,0.613
256,0,0.358,0.487,0.518
257,0,0.025,0.11,0.179
258,0,0,0,0
259,0,0,0,0
260,0,0,0,0
261,0,0,0,0
262,0,0,0,0
263,0,0,0,0
264,0,0,0,0
265,0,0,0,0
266,0,0,0,0
267,0,0,0,0
268,0,0,0,0
269,0,0,0,0
270,0,0,0,0
271,0,0,0,0
272,0,0,0.147,0
273,0,0.093,0.6,0.027
274,0,0.124,0.633,0.067
275,0,0.401,0.626,0.195
276,0,0.581,0.586,0.329
277,0,0.564,0.593,0.148
278,0,0.506,0.595,0.131
279,0,0.427,0.595,0.1
280,0,0.468,0.568,0
281,0,0.129,0.139,0
282,0,0,0,0
283,0,0,0,0
284,0,0,0,0
285,0,0,0,0
286,0,0,0,0
287,0,0,0,0
288,0,0,0,0
289,0,0,0,0
290,0,0,0,0
291,0,0,0,0
292,0,0,0,0
293,0,0,0,0
294,0,0,0,0
295,0,0,0,0
296,0,0,0.171,0.125
297,0,0,0.631,0.673
298,0,0,0.684,0.867
299,0,0.145,0.683,0.819
300,0,0.314,0.637,0.77
301,0,0.28,0.644,0.764
302,0,0.259,0.647,0.81
303,0,0.22,0.632,0.838
304,0,0.141,0.579,0.642
305,0,0.013,0.141,0.172
306,0,0,0,0
307,0,0,0,0
308,0,0,0,0
309,0,0,0,0
310,0,0,0,0
311,0,0,0,0
312,0,0,0,0
313,0,0,0,0
314,0,0,0,0
315,0,0,0,0
316,0,0,0,0
317,0,0,0,0
318,0,0,0,0
319,0,0,0,0
320,0,0,0.178,0.162
321,0,0.067,0.657,0.656
322,0,0.016,0.718,0.868
323,0,0.105,0.69,0.81
324,0,0.162,0.651,0.622
325,0,0.384,0.657,0.527
326,0,0.096,0.664,0.597
327,0,0.12,0.64,0.357
328,0,0.089,0.577,0.481
329,0,0.035,0.142,0.036
330,0,0,0,0
331,0,0,0,0
332,0,0,0,0
333,0,0,0,0
334,0,0,0,0
335,0,0,0,0
336,0,0,0,0
337,0,0,0,0
338,0,0,0,0
339,0,0,0,0
340,0,0,0,0
341,0,0,0,0
342,0,0,0,0
343,0,0,0,0
344,0,0,0.138,0.172
345,0,0.4,0.524,0.646
346,0,0.737,0.612,0.667
347,0,0.703,0.624,0.791
348,0,0.647,0.596,0.745
349,0,0.627,0.589,0.355
350,0,0.663,0.62,0.219
351,0,0.72,0.579,0.605
352,0,0.663,0.529,0.657
353,0,0.178,0.145,0.198
354,0,0,0,0
355,0,0,0,0
356,0,0,0,0
357,0,0,0,0
358,0,0,0,0
359,0,0,0,0
360,0,0,0,0
361,0,0,0,0
362,0,0,0,0
363,0,0,0,0
364,0,0,0,0
365,0,0,0,0
366,0,0,0,0
367,0,0,0,0
368,0,0,0.151,0.155
369,0,0.137,0.537,0.669
370,0,0.187,0.636,0.852
371,0,0.241,0.659,0.824
372,0,0.175,0.639,0.771
373,0,0.276,0.635,0.764
374,0,0.398,0.67,0.805
375,0,0.393,0.688,0.843
376,0,0.15,0.581,0.682
377,0,0.039,0.159,0.184
378,0,0,0,0
379,0,0,0,0
380,0,0,0,0
381,0,0,0,0
382,0,0,0,0
383,0,0,0,0
384,0,0,0,0
385,0,0,0,0
386,0,0,0,0
387,0,0,0,0
388,0,0,0,0
389,0,0,0,0
390,0,0,0,0
391,0,0,0,0
392,0,0,0.172,0.171
393,0,0.098,0.621,0.65
394,0,0.372,0.687,0.836
395,0,0.42,0.691,0.799
396,0,0.535,0.665,0.74
397,0,0.473,0.648,0.737
398,0,0.444,0.66,0.753
399,0,0.39,0.673,0.815
400,0,0.244,0.604,0.672
401,0,0.08,0.19,0.212
402,0,0,0,0
403,0,0,0,0
404,0,0,0,0
405,0,0,0,0
406,0,0,0,0
407,0,0,0,0
408,0,0,0,0
409,0,0,0,0
410,0,0,0,0
411,0,0,0,0
412,0,0,0,0
413,0,0,0,0
414,0,0,0,0
415,0,0,0,0
416,0,0,0.178,0.175
417,0,0.111,0.626,0.655
418,0,0.064,0.702,0.804
419,0,0.62,0.686,0.77
420,0,0.53,0.638,0.718
421,0,0.508,0.647,0.733
422,0,0.641,0.672,0.71
423,0,0.008,0.652,0.787
424,0,0.634,0.554,0.701
425,0,0.182,0.147,0.221
426,0,0,0,0
427,0,0,0,0
428,0,0,0,0
429,0,0,0,0
430,0,0,0,0
431,0,0,0,0
432,0,0,0,0
433,0,0,0,0
434,0,0,0,0
435,0,0,0,0
436,0,0,0,0
437,0,0,0,0
438,0,0,0,0
439,0,0,0,0
440,0,0,0.136,0.076
441,0,0.301,0.514,0.63
442,0,0.604,0.626,0.754
443,0,0.557,0.641,0.641
444,0,0.649,0.602,0.521
445,0,0.628,0.633,0.61
446,0,0.668,0.654,0.601
447,0,0.718,0.651,0.655
448,0,0.689,0.539,0.187
449,0,0.211,0.135,0.009
450,0,0,0,0
451,0,0,0,0
452,0,0,0,0
453,0,0,0,0
454,0,0,0,0
455,0,0,0,0
456,0,0,0,0
457,0,0,0,0
458,0,0,0,0
459,0,0,0,0
460,0,0,0,0
461,0,0,0,0
462,0,0,0,0
463,0,0,0,0
464,0,0,0.159,0.181
465,0,0.368,0.561,0.654
466,0,0.686,0.666,0.814
467,0,0.678,0.636,0.806
468,0,0.341,0.58,0.735
469,0,0.539,0.583,0.765
470,0,0.649,0.562,0.802
471,0,0.689,0.55,0.81
472,0,0.653,0.514,0.722
473,0,0.196,0.137,0.21
474,0,0,0,0
475,0,0,0,0
476,0,0,0,0
477,0,0,0,0
478,0,0,0,0
479,0,0,0,0
480,0,0,0,0
481,0,0,0,0
482,0,0,0,0
483,0,0,0,0
484,0,0,0,0
485,0,0,0,0
486,0,0,0,0
487,0,0,0,0
488,0,0,0.187,0.166
489,0,0.058,0.567,0.596
490,0,0.305,0.626,0.689
491,0,0.38,0.659,0.652
492,0,0.347,0.635,0.385
493,0,0.248,0.63,0.43
494,0,0.385,0.636,0.265
495,0,0.674,0.604,0.121
496,0,0.63,0.554,0.004
497,0,0.194,0.156,0
498,0,0,0,0
499,0,0,0,0
500,0,0,0,0
501,0,0,0,0
502,0,0,0,0
503,0,0,0,0
504,0,0,0,0
505,0,0,0,0
506,0,0,0,0
507,0,0,0,0
508,0,0,0,0
509,0,0,0,0
510,0,0,0,0
511,0,0,0,0
512,0,0,0.136,0.062
513,0,0.42,0.468,0.493
514,0,0.745,0.556,0.776
515,0,0.724,0.584,0.783
516,0,0.674,0.599,0.757
517,0,0.649,0.62,0.753
518,0,0.684,0.624,0.794
519,0,0.732,0.57,0.83
520,0,0.711,0.48,0.723
521,0,0.24,0.159,0.21
522,0,0,0,0
523,0,0,0,0
524,0,0,0,0
525,0,0,0,0
526,0,0,0,0
527,0,0,0,0
528,0,0,0,0
529,0,0,0,0
530,0,0,0,0
531,0,0,0,0
532,0,0,0,0
533,0,0,0,0
534,0,0,0,0
535,0,0,0,0
536,0,0,0.165,0.146
537,0,0.42,0.539,0.531
538,0,0.732,0.6,0.807
539,0,0.712,0.591,0.763
540,0,0.659,0.578,0.768
541,0,0.633,0.599,0.775
542,0,0.668,0.579,0.801
543,0,0.717,0.542,0.794
544,0,0.694,0.532,0.748
545,0,0.243,0.166,0.252
546,0,0,0,0
547,0,0,0,0
548,0,0,0,0
549,0,0,0,0
550,0,0,0,0
551,0,0,0,0
552,0,0,0,0
553,0,0,0,0
554,0,0,0,0
555,0,0,0,0
556,0,0,0,0
557,0,0,0,0
558,0,0,0,0
559,0,0,0,0
560,0,0.017,0.169,0
561,0,0.433,0.527,0.027
562,0,0.751,0.6,0.412
563,0,0.723,0.601,0.75
564,0,0.674,0.591,0.542
565,0,0.649,0.635,0.621
566,0,0.683,0.635,0.28
567,0,0.732,0.596,0.521
568,0,0.712,0.488,0.225
569,0,0.26,0.159,0.167
570,0,0,0,0
571,0,0,0,0
572,0,0,0,0
573,0,0,0,0
574,0,0,0,0
575,0,0,0,0
576,0,0,0,0
577,0,0,0,0
578,0,0,0,0
579,0,0,0,0
580,0,0,0,0
581,0,0,0,0
582,0,0,0,0
583,0,0,0,0
584,0,0.014,0.161,0.188
585,0,0.155,0.529,0.687
586,0,0.692,0.604,0.868
587,0,0.484,0.619,0.786
588,0,0.5,0.589,0.77
589,0,0.456,0.607,0.791
590,0,0.519,0.598,0.824
591,0,0.684,0.592,0.819
592,0,0.638,0.566,0.767
593,0,0.024,0.186,0.26
594,0,0,0,0
595,0,0,0,0
596,0,0,0,0
597,0,0,0,0
598,0,0,0,0
599,0,0,0,0
600,0,0,0,0
601,0,0,0,0
602,0,0,0,0
603,0,0,0,0
604,0,0,0,0
605,0,0,0,0
606,0,0,0,0
607,0,0,0,0
608,0,0.018,0.164,0
609,0,0.166,0.48,0.256
610,0,0.745,0.583,0.748
611,0,0.722,0.603,0.363
612,0,0.675,0.582,0.441
613,0,0.649,0.611,0.325
614,0,0.565,0.588,0.289
615,0,0.539,0.56,0.35
616,0,0.109,0.533,0.138
617,0,0.037,0.189,0.246
618,0,0,0,0
619,0,0,0,0
620,0,0,0,0
621,0,0,0,0
622,0,0,0,0
623,0,0,0,0
624,0,0,0,0
625,0,0,0,0
626,0,0,0,0
627,0,0,0,0
628,0,0,0,0
629,0,0,0,0
630,0,0,0,0
631,0,0,0,0
632,0,0.006,0.177,0.181
633,0,0.2,0.551,0.664
634,0,0.573,0.601,0.908
635,0,0.205,0.624,0.849
636,0,0.496,0.63,0.769
637,0,0.507,0.627,0.63
638,0,0.656,0.595,0.357
639,0,0.106,0.583,0.215
640,0,0.363,0.51,0.283
641,0,0.105,0.222,0.076
642,0,0,0,0
643,0,0,0,0
644,0,0,0,0
645,0,0,0,0
646,0,0,0,0
647,0,0,0,0
648,0,0,0,0
649,0,0,0,0
650,0,0,0,0
651,0,0,0,0
652,0,0,0,0
653,0,0,0,0
654,0,0,0,0
655,0,0,0,0
656,0,0,0.21,0.215
657,0,0.066,0.63,0.731
658,0,0.043,0.665,0.902
659,0,0.334,0.69,0.836
660,0,0.312,0.669,0.801
661,0,0.411,0.687,0.8
662,0,0.323,0.693,0.846
663,0,0.064,0.67,0.888
664,0,0.13,0.577,0.804
665,0,0.086,0.221,0.299
666,0,0,0,0
667,0,0,0,0
668,0,0,0,0
669,0,0,0,0
670,0,0,0,0
671,0,0,0,0
672,0,0,0,0
673,0,0,0,0
674,0,0,0,0
675,0,0,0,0
676,0,0,0,0
677,0,0,0,0
678,0,0,0,0
679,0,0,0,0
680,0,0.025,0.22,0.197
681,0,0.185,0.631,0.645
682,0,0.152,0.712,0.814
683,0,0.341,0.7,0.775
684,0,0.502,0.689,0.767
685,0,0.44,0.698,0.804
686,0,0.269,0.707,0.841
687,0,0.697,0.694,0.792
688,0,0.193,0.595,0.743
689,0,0.091,0.231,0.243
690,0,0,0,0
691,0,0,0,0
692,0,0,0,0
693,0,0,0,0
694,0,0,0,0
695,0,0,0,0
696,0,0,0,0
697,0,0,0,0
698,0,0,0,0
699,0,0,0,0
700,0,0,0,0
701,0,0,0,0
702,0,0,0,0
703,0,0,0,0
704,0,0,0.208,0.202
705,0,0.026,0.602,0.697
706,0,0.047,0.69,0.821
707,0,0.211,0.69,0.757
708,0,0.026,0.659,0.784
709,0,0.139,0.654,0.762
710,0,0.108,0.671,0.829
711,0,0.523,0.623,0.857
712,0,0.706,0.554,0.783
713,0,0.008,0.254,0.319
714,0,0,0,0
715,0,0,0,0
716,0,0,0,0
717,0,0,0,0
718,0,0,0,0
719,0,0,0,0
720,0,0,0,0
721,0,0,0,0
722,0,0,0,0
723,0,0,0,0
724,0,0,0,0
725,0,0,0,0
726,0,0,0,0
727,0,0,0,0
728,0,0.005,0.229,0.217
729,0,0.066,0.635,0.737
730,0,0.449,0.711,0.857
731,0,0.539,0.683,0.806
732,0,0.293,0.666,0.784
733,0,0.349,0.663,0.799
734,0,0.222,0.703,0.848
735,0,0.128,0.667,0.877
736,0,0.053,0.586,0.837
737,0,0.338,0.26,0.351
738,0,0,0,0
739,0,0,0,0
740,0,0,0,0
741,0,0,0,0
742,0,0,0,0
743,0,0,0,0
744,0,0,0,0
745,0,0,0,0
746,0,0,0,0
747,0,0,0,0
748,0,0,0,0
749,0,0,0,0
750,0,0,0,0
751,0,0,0,0
752,0,0.012,0.274,0.221
753,0,0.206,0.687,0.78
754,0,0.449,0.769,0.921
755,0,0.597,0.777,0.88
756,0,0.7,0.745,0.838
757,0,0.551,0.748,0.825
758,0,0.524,0.758,0.834
759,0,0.643,0.752,0.838
760,0,0.431,0.673,0.827
761,0,0.238,0.288,0.325
762,0,0,0,0
763,0,0,0,0
764,0,0,0,0
765,0,0,0,0
766,0,0,0,0
767,0,0,0,0
768,0,0,0,0
769,0,0,0,0
770,0,0,0,0
771,0,0,0,0
772,0,0,0,0
773,0,0,0,0
774,0,0,0,0
775,0,0,0,0
776,0,0,0.246,0.241
777,0,0.011,0.634,0.777
778,0,0.576,0.708,0.899
779,0,0.505,0.712,0.864
780,0,0.323,0.708,0.826
781,0,0.316,0.712,0.797
782,0,0.382,0.71,0.831
783,0,0.442,0.691,0.839
784,0,0.439,0.607,0.784
785,0,0.254,0.285,0.326
786,0,0,0,0
787,0,0,0,0
788,0,0,0,0
789,0,0,0,0
790,0,0,0,0
791,0,0,0,0
792,0,0,0,0
793,0,0,0,0
794,0,0,0,0
795,0,0,0,0
796,0,0,0,0
797,0,0,0,0
798,0,0,0,0
799,0,0,0,0
800,0,0.04,0.314,0.213
801,0,0.473,0.745,0.755
802,0,0.478,0.796,0.897
803,0,0.719,0.742,0.867
804,0,0.681,0.713,0.831
805,0,0.544,0.725,0.808
806,0,0.686,0.74,0.835
807,0,0.726,0.761,0.821
808,0,0.714,0.739,0.842
809,0,0.144,0.376,0.344
810,0,0,0,0
811,0,0,0,0
812,0,0,0,0
813,0,0,0,0
814,0,0,0,0
815,0,0,0,0
816,0,0,0,0
817,0,0,0,0
818,0,0,0,0
819,0,0,0,0
820,0,0,0,0
821,0,0,0,0
822,0,0,0,0
823,0,0,0,0
824,0,0.052,0.304,0
825,0,0.503,0.715,0.001
826,0,0.76,0.792,0.03
827,0,0.728,0.765,0.052
828,0,0.689,0.739,0.174
829,0,0.667,0.73,0.27
830,0,0.694,0.743,0.13
831,0,0.735,0.735,0.191
832,0,0.728,0.699,0.027
833,0,0.36,0.346,0.035
834,0,0,0,0
835,0,0,0,0
836,0,0,0,0
837,0,0,0,0
838,0,0,0,0
839,0,0,0,0
840,0,0,0,0
841,0,0,0,0
842,0,0,0,0
843,0,0,0,0
844,0,0,0,0
845,0,0,0,0
846,0,0,0,0
847,0,0,0,0
848,0,0.037,0.258,0.002
849,0,0.535,0.633,0.387
850,0,0.793,0.724,0.556
851,0,0.765,0.719,0.361
852,0,0.722,0.696,0.345
853,0,0.697,0.704,0.156
854,0,0.726,0.712,0.121
855,0,0.772,0.689,0.182
856,0,0.764,0.612,0.015
857,0,0.385,0.339,0.184
858,0,0,0.002,0
859,0,0,0,0
860,0,0,0,0
861,0,0,0,0
862,0,0,0,0
863,0,0,0,0
864,0,0,0,0
865,0,0,0,0
866,0,0,0,0
867,0,0,0,0
868,0,0,0,0
869,0,0,0,0
870,0,0,0,0
871,0,0,0,0
872,0,0.058,0.254,0.115
873,0,0.542,0.61,0.691
874,0,0.804,0.712,0.837
875,0,0.783,0.696,0.822
876,0,0.742,0.654,0.623
877,0,0.719,0.671,0.524
878,0,0.462,0.635,0.754
879,0,0.789,0.634,0.815
880,0,0.765,0.613,0.704
881,0,0,0.326,0.343
882,0,0,0.001,0
883,0,0,0,0
884,0,0,0,0
885,0,0,0,0
886,0,0,0,0
887,0,0,0,0
888,0,0,0,0
889,0,0,0,0
890,0,0,0,0
891,0,0,0,0
892,0,0,0,0
893,0,0,0,0
894,0,0,0,0
895,0,0,0,0
896,0,0.072,0.272,0
897,0,0.586,0.607,0.023
898,0,0.844,0.737,0.495
899,0,0.815,0.716,0.247
900,0,0.773,0.663,0.462
901,0,0.748,0.647,0.545
902,0,0.776,0.63,0.524
903,0,0.816,0.612,0.777
904,0,0.817,0.599,0.683
905,0,0.437,0.342,0.348
906,0,0,0.007,0
907,0,0,0,0
908,0,0,0,0
909,0,0,0,0
910,0,0,0,0
911,0,0,0,0
912,0,0,0,0
913,0,0,0,0
914,0,0,0,0
915,0,0,0,0
916,0,0,0,0
917,0,0,0,0
918,0,0,0,0
919,0,0,0,0
920,0,0.013,0.323,0.209
921,0,0.297,0.723,0.74
922,0,0.827,0.768,0.859
923,0,0.609,0.746,0.826
924,0,0.594,0.722,0.62
925,0,0.729,0.73,0.705
926,0,0.757,0.708,0.609
927,0,0.589,0.723,0.554
928,0,0.449,0.666,0.712
929,0,0.079,0.358,0.308
930,0,0,0.01,0
931,0,0,0,0
932,0,0,0,0
933,0,0,0,0
934,0,0,0,0
935,0,0,0,0
936,0,0,0,0
937,0,0,0,0
938,0,0,0,0
939,0,0,0,0
940,0,0,0,0
941,0,0,0,0
942,0,0,0,0
943,0,0,0,0
944,0,0.02,0.36,0
945,0,0.018,0.724,0.299
946,0,0.01,0.776,0.74
947,0,0.094,0.747,0.242
948,0,0.083,0.699,0.101
949,0,0.115,0.709,0.106
950,0,0.272,0.726,0.074
951,0,0.406,0.738,0.062
952,0,0.252,0.688,0.007
953,0,0.39,0.387,0
954,0,0,0.012,0
955,0,0,0,0
956,0,0,0,0
957,0,0,0,0
958,0,0,0,0
959,0,0,0,0
960,0,0,0,0
961,0,0,0,0
962,0,0,0,0
963,0,0,0,0
964,0,0,0,0
965,0,0,0,0
966,0,0,0,0
967,0,0,0,0
968,0,0.012,0.297,0.277
969,0,0.021,0.621,0.812
970,0,0.201,0.664,0.951
971,0,0.374,0.667,0.928
972,0,0.249,0.696,0.891
973,0,0.501,0.716,0.883
974,0,0.77,0.704,0.892
975,0,0.804,0.692,0.857
976,0,0.474,0.651,0.871
977,0,0.189,0.381,0.449
978,0,0,0.013,0
979,0,0,0,0
980,0,0,0,0
981,0,0,0,0
982,0,0,0,0
983,0,0,0,0
984,0,0,0,0
985,0,0,0,0
986,0,0,0,0
987,0,0,0,0
988,0,0,0,0
989,0,0,0,0
990,0,0,0,0
991,0,0,0,0
992,0,0.033,0.355,0.233
993,0,0.516,0.722,0.401
994,0,0.79,0.794,0.487
995,0,0.806,0.778,0.723
996,0,0.436,0.737,0.757
997,0,0.746,0.735,0.821
998,0,0.238,0.739,0.864
999,0,0.67,0.741,0.848
1000,0,0.783,0.631,0.887
1001,0,0.159,0.36,0.446
1002,0,0.005,0.013,0
1003,0,0,0,0
1004,0,0,0,0
1005,0,0,0,0
1006,0,0,0,0
1007,0,0,0,0
1008,0,0,0,0
1009,0,0,0,0
1010,0,0,0,0
1011,0,0,0,0
1012,0,0,0,0
1013,0,0,0,0
1014,0,0,0,0
1015,0,0,0,0
1016,0,0,0.377,0.302
1017,0,0.032,0.745,0.827
1018,0,0.149,0.782,0.894
1019,0,0.391,0.763,0.858
1020,0,0.063,0.718,0.798
1021,0,0.039,0.698,0.785
1022,0,0.198,0.685,0.848
1023,0,0.101,0.688,0.848
1024,0,0.126,0.631,0.883
1025,0,0.071,0.39,0.457
1026,0,0.014,0.017,0
1027,0,0,0,0
1028,0,0,0,0
1029,0,0,0,0
1030,0,0,0,0
1031,0,0,0,0
1032,0,0,0,0
1033,0,0,0,0
1034,0,0,0,0
1035,0,0,0,0
1036,0,0,0,0
1037,0,0,0,0
1038,0,0,0,0
1039,0,0,0,0
1040,0,0.063,0.354,0.185
1041,0,0.226,0.58,0.742
1042,0,0.374,0.666,0.889
1043,0,0.733,0.692,0.88
1044,0,0.588,0.649,0.833
1045,0,0.734,0.681,0.745
1046,0,0.601,0.684,0.428
1047,0,0.407,0.654,0.497
1048,0,0.356,0.58,0.284
1049,0,0.38,0.375,0.004
1050,0,0.016,0.017,0
1051,0,0,0,0
1052,0,0,0,0
1053,0,0,0,0
1054,0,0,0,0
1055,0,0,0,0
1056,0,0,0,0
1057,0,0,0,0
1058,0,0,0,0
1059,0,0,0,0
1060,0,0,0,0
1061,0,0,0,0
1062,0,0,0,0
1063,0,0,0,0
1064,0,0.093,0.375,0.339
1065,0,0.548,0.666,0.865
1066,0,0.78,0.737,0.947
1067,0,0.787,0.757,0.919
1068,0,0.758,0.74,0.896
1069,0,0.74,0.745,0.893
1070,0,0.771,0.765,0.89
1071,0,0.796,0.777,0.897
1072,0,0.782,0.725,0.897
1073,0,0.457,0.466,0.501
1074,0,0.029,0.024,0.001
1075,0,0,0,0
1076,0,0,0,0
1077,0,0,0,0
1078,0,0,0,0
1079,0,0,0,0
1080,0,0,0,0
1081,0,0,0,0
1082,0,0,0,0
1083,0,0,0,0
1084,0,0,0,0
1085,0,0,0,0
1086,0,0,0,0
1087,0,0,0.002,0
1088,0,0.099,0.375,0.032
1089,0,0.544,0.661,0.673
1090,0,0.761,0.707,0.784
1091,0,0.775,0.736,0.943
1092,0,0.617,0.731,0.889
1093,0,0.617,0.751,0.895
1094,0,0.593,0.753,0.914
1095,0,0.634,0.747,0.901
1096,0,0.561,0.699,0.829
1097,0,0.328,0.437,0.468
1098,0,0.013,0.025,0
1099,0,0,0,0
1100,0,0,0,0
1101,0,0,0,0
1102,0,0,0,0
1103,0,0,0,0
1104,0,0,0,0
1105,0,0,0,0
1106,0,0,0,0
1107,0,0,0,0
1108,0,0,0,0
1109,0,0,0,0
