Resource,CAISO_Advanced_CCGT_candidate,CAISO_Aero_CT_candidate,CAISO_Reciprocating_Engine_candidate,Total
t28,4.8347577663003715e-8,4.2188487655442353e-7,2.2323622634140185e-5,2.2793855088357614e-5
t29,4.83691101514587e-8,4.286551139347687e-7,2.4202759111876124e-5,2.467978333596235e-5
t30,4.612456929904315e-8,3.9907279104260374e-7,1.825133833319803e-5,1.869653569353968e-5
t31,4.254284423409462e-8,3.598482575770775e-7,1.2532112712499866e-5,1.2934503814311037e-5
t32,3.8075004618717416e-8,3.1408689134249886e-7,8.271669050952294e-6,8.62383094691351e-6
t33,3.312631336545822e-8,2.5157932520088415e-7,5.266404136026488e-6,5.551109774592831e-6
t34,3.903761457773114e-8,3.0655560127916934e-7,6.9699823073277235e-6,7.315575523184624e-6
t35,4.646574367434328e-8,3.4507927840834335e-7,8.79909873570136e-6,9.190643757784048e-6
t36,5.6518334250298736e-8,3.661387761587341e-7,1.0851779165685868e-5,1.12744362760949e-5
t37,7.162696995337005e-8,3.7962472723846487e-7,1.3820360592540546e-5,1.427161228973238e-5
t38,9.851285637695233e-8,3.961956940690305e-7,2.0607541301724894e-5,2.1102249852170876e-5
t39,1.6346252901260837e-7,4.3105102417972816e-7,5.7148885755895634e-5,5.774339930908797e-5
t40,5.858635604067663e-7,5.304638918388412e-7,2.7484039968752207,2.748405113202673
t41,0.007617437871059304,9.565245540200294e-7,0.0023664653393952535,0.009984859735008577
t42,2.4190333262748485e-7,6.439655863620808e-7,1.68067044824733e-5,1.7692573401462866e-5
t43,1.3214546538936624e-7,5.431654754775065e-7,1.094257243998293e-5,1.1617883380849804e-5
t44,9.667861876907444e-8,4.935409927426128e-7,9.573060951209667e-6,1.0163280562721355e-5
t45,8.010992735421087e-8,4.634769200841728e-7,9.407007234567322e-6,9.950594082005706e-6
t46,7.136748200714689e-8,4.4187782439820457e-7,9.769561711371492e-6,1.0282807017776843e-5
t47,6.65349502356815e-8,4.232069185241014e-7,1.0493843818116471e-5,1.0983585686876254e-5
t48,5.226117632857473e-8,4.039207974009303e-7,1.1704139270325126e-5,1.2160321244054631e-5
t49,4.9726370924684776e-8,3.9477254687864375e-7,1.4106894129076258e-5,1.4551393046879586e-5
t50,4.940539137659746e-8,4.070467018896829e-7,1.748239954288343e-5,1.793885163614971e-5
t51,4.945235786129682e-8,4.1670874721145477e-7,2.0260210516120933e-5,2.0726371621193685e-5
t52,4.9802952459347e-8,4.247540311572014e-7,2.2347440820490646e-5,2.2821997804107196e-5
t53,4.983882434084336e-8,4.328013438557326e-7,2.413572508316534e-5,2.4618365251361915e-5
t54,4.679325992355263e-8,3.9723737882889664e-7,1.7358834187848977e-5,1.7802864826601425e-5
t55,4.2856510587867144e-8,3.59173805596662e-7,1.2072969331337566e-5,1.2474999647522094e-5
