Resource,CAISO_Advanced_CCGT_candidate,CAISO_Aero_CT_candidate,CAISO_Reciprocating_Engine_candidate,CAISO_Shed_DR_Tranche1,CAM_CAM_RA_i,CAM_CAM_RA_ii,CAM_CAM_RA_iii,CAM_CPE_RA_i,CAM_CPE_RA_ii,CAM_DR_RA,Generic_RA_Only,Leapfrog_Power,Tierra_Buena,Aquamarine_Westside,Arizona_Solar,Humboldt_Bay_Offshore_Wind,Morro_Bay_Offshore_Wind,NW_Ext_Tx_Wind,New_Mexico_Wind,Northern_California_Solar,Northern_California_Wind,Riverside_Palm_Springs_Wind,Riverside_Solar,Wyoming_Wind,Arizona_Li_Battery,CAISO_New_Flow_Battery,CAISO_New_Flow_Battery_12,CAISO_New_Flow_Battery_8,CAISO_New_LDES_Battery_12,CC_Power_GoalLine,CC_Power_Tumbleweed,Generic_4hr_battery_low_cost,Generic_6hr_battery,Generic_6hr_battery_low_cost,Generic_8hr_battery,Generic_8hr_battery_low_cost,Northern_California_Li_Battery,Riverside_Li_Battery,Riverside_West_Pumped_Storage,Tehachapi_Pumped_Storage,FishLake,Greater_Imperial_Geothermal,InState_Biomass,Northern_California_Geothermal,Ormat_Portfolio,Southern_Nevada_Geothermal,IndianValley_Hydro,GibsonSolar,PutahCreek,Resurgence_Hybrid,WillowSpringsSolar
t4986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-91.47464839681761,0.0,0.0,0.0,0.0,0.0,0.0,-94.41061352294429,-94.44946821698025,-94.48942959825695,-94.57920396212107,-94.55834153619624,-91.47464839681761,-91.47464839681761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.16557974797172,-79.01577629470253,-79.08481307395101
t4987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-111.17963150763696,0.0,0.0,0.0,0.0,0.0,0.0,-114.01111219950799,-113.97606495560596,-114.0273235127031,-113.47342818050691,-114.03335698165435,-111.17963150763696,-111.17963150763696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.16835683106235,-79.01602566429116,-79.08521014858759
t4988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-128.80365199146988,0.0,0.0,0.0,0.0,0.0,0.0,-129.55112826823841,-128.69242627794986,-128.79824216667947,-126.22031493173274,-128.78148746094053,-128.80365199146988,-128.80365199146988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.17096204783732,-79.01626617899886,-79.08558861258653
t4989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-128.80376928506496,0.0,0.0,0.0,0.0,0.0,0.0,-129.50870247754207,-128.7132918396863,-128.7995487614263,-126.34722352069112,-128.7834587236308,-128.80376928506496,-128.80376928506496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.17338445832557,-79.01649826593746,-79.08594929718134
t4990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-128.80365475574828,0.0,0.0,0.0,0.0,0.0,0.0,-129.42111339950168,-128.71859491732044,-128.79922292995073,-126.36753901272115,-128.78383331648763,-128.80365475574828,-128.80365475574828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.17564907846081,-79.01672271350708,-79.08629397542279
t4991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-128.80323012885916,0.0,0.0,0.0,0.0,0.0,0.0,-129.29970463395094,-128.70959705638268,-128.7982759487745,-126.32906739092275,-128.78351902879072,-128.80323012885916,-128.80323012885916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.17776889682769,-79.01694016818692,-79.08662393966875
t4992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-128.80241060192554,0.0,0.0,0.0,0.0,0.0,0.0,-129.14478423631672,-128.68874152925562,-128.79682487455756,-126.24593303712734,-128.78267499764667,-128.80241060192554,-128.80241060192554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.17975482702772,-79.01715115692438,-79.08694026369109
t4993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-128.80139458730085,0.0,0.0,0.0,0.0,0.0,0.0,-128.95368250844734,-128.65628941021203,-128.79486638669803,-126.11925609450185,-128.78131518129203,-128.80139458730085,-128.80139458730085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.18161657242919,-79.0173561349496,-79.08724391411464
t4994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-128.80020623473618,0.0,0.0,0.0,0.0,0.0,0.0,-128.71907378032427,-128.61061440065242,-128.79232400655343,-125.94131258346505,-128.77935703289376,-128.80020623473618,-128.80020623473618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.18336247732144,-79.0175554995273,-79.08753574879647
t4995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-128.7988088168603,0.0,0.0,0.0,0.0,0.0,0.0,-128.42438444223114,-128.54699711477804,-128.78899845794533,-125.69219787933233,-128.77658743441296,-128.7988088168603,-128.7988088168603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.18499993214773,-79.01774960513816,-79.08781653380223
t4996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-128.79688327912658,0.0,0.0,0.0,0.0,0.0,0.0,-128.02845815485065,-128.45323624803135,-128.78433631417272,-125.32377321905024,-128.77247003615773,-128.79688327912658,-128.79688327912658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.18653529018285,-79.0179387685619,-79.08808695231703
t4997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-128.79294016334268,0.0,0.0,0.0,0.0,0.0,0.0,-127.39224129316932,-128.2864419340519,-128.77642846566272,-124.67698171863513,-128.7652038302465,-128.79294016334268,-128.79294016334268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.18797425669855,-79.01812327055934,-79.0883476177859
t4998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-110.05206564597249,0.0,0.0,0.0,0.0,0.0,0.0,-111.3522988416039,-111.8348043571428,-112.36677667020525,-114.42591749798109,-113.47256197356249,-110.05206564597249,-110.05206564597249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.18932206799016,-79.01830336075602,-79.08859910781473
t4999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.37100662075883,0.0,0.0,0.0,0.0,0.0,0.0,-51.469692238008115,-51.77367456958674,-51.888930750828386,-63.49557599426279,-55.19943382178557,-48.37100662075883,-48.37100662075883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.19058355802758,-79.0184792668352,-79.08884199486786
t5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.3898033834181,0.0,0.0,0.0,0.0,0.0,0.0,-46.72395199269494,-50.991813850330345,-51.79799207301208,-62.60749685597395,-55.18977805008079,-43.3898033834181,-43.3898033834181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.1919299624766,-79.01865929256623,-79.08909351626515
t5001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.988672220880126,0.0,0.0,0.0,0.0,0.0,0.0,-45.814202483030115,-50.82774235501623,-51.79062950307455,-62.169637196423366,-55.185140812547694,-42.988672220880126,-42.988672220880126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.19337022410546,-79.01884377559327,-79.08935425841509
t5002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.98832168834943,0.0,0.0,0.0,0.0,0.0,0.0,-45.438821994116886,-50.746017559602166,-51.78702098812642,-61.899825301537284,-55.182354035721964,-42.98832168834943,-42.98832168834943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.19491308990594,-79.01903300308823,-79.08962484058844
t5003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.98825790300384,0.0,0.0,0.0,0.0,0.0,0.0,-45.26243369533429,-50.697912984805356,-51.78499915499209,-61.71798421590509,-55.180591725596436,-42.98825790300384,-42.98825790300384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.19656115911012,-79.01922725544873,-79.08990596642968
