Resource,CAISO_Advanced_CCGT_candidate,CAISO_Aero_CT_candidate,CAISO_Reciprocating_Engine_candidate,CAISO_Shed_DR_Tranche1,CAM_CAM_RA_i,CAM_CAM_RA_ii,CAM_CAM_RA_iii,CAM_CPE_RA_i,CAM_CPE_RA_ii,CAM_DR_RA,Generic_RA_Only,Leapfrog_Power,Tierra_Buena,FishLake,Greater_Imperial_Geothermal,InState_Biomass,Northern_California_Geothermal,Ormat_Portfolio,Southern_Nevada_Geothermal,IndianValley_Hydro
t11,0.0006022321833671809,0.000538981847463003,0.0014567424837525116,0.0001295973569955434,0.0,0.0,0.0,3.0118918459340133e-5,0.0,0.0,2.9996279837931363e-5,0.0,0.0,3.0440000000000005,6.549280361438887e-8,3.459013762331528e-8,6.55121674463157e-8,35.006,6.100720421590195e-8,0.0
t12,0.0005920234637008643,0.0005344211171546625,0.001372533672380276,0.00012870534774216352,0.0,0.0,0.0,0.0,0.0,0.0,2.994813873622046e-5,0.0,3.007055946435988e-5,3.0440000000000005,6.549280361438887e-8,3.459013762331528e-8,6.55121674463157e-8,35.006,6.100720421590195e-8,0.0
t13,0.0006328340427684498,0.0005381199101296444,0.0014067003128747828,0.00012780973173493043,0.0,0.0,0.0,0.0,0.0,0.0,2.9899342700662078e-5,3.002148297973922e-5,0.0,3.0440000000000005,6.549280361438887e-8,3.459013762331528e-8,6.55121674463157e-8,35.006,6.100720421590195e-8,0.0
t14,0.0007455804078686005,0.0005564027617528404,0.001610157477386782,0.0001275103287985127,0.0,0.0,0.0,0.0,0.0,0.0,2.988292916364696e-5,0.0,3.000493430613846e-5,3.0440000000000005,6.549280361438887e-8,3.459013762331528e-8,6.55121674463157e-8,35.006,6.100720421590195e-8,0.0
t15,0.0010409284324342225,0.0006128369931367272,0.0027040356997285226,0.00012931063405665475,0.0,0.0,0.0,0.0,0.0,0.0,2.9980701440775148e-5,0.0,3.0103406657725227e-5,3.0440000000000005,6.549280361438887e-8,3.459013762331528e-8,6.55121674463157e-8,35.006,6.100720421590195e-8,0.0
t16,0.0029095423149291893,0.0007849098427140332,0.04266060606184492,0.00013593219433687874,0.0,0.0,0.0,0.0,0.0,3.0334540981914892e-5,3.0210384670867513e-5,0.0,0.0,3.0440000000000005,6.549280361438887e-8,3.459013762331528e-8,6.55121674463157e-8,35.006,6.100720421590195e-8,0.0
t17,21.951457093212657,0.0015402696086656976,62.924675722864286,5.712830351979074,3.957390136229593e-5,0.0,0.0,0.0,0.0,0.0,3.936537006282205e-5,0.0,0.0,3.0440000000000005,6.549280361438887e-8,3.459013762331528e-8,6.55121674463157e-8,35.006,6.100720421590195e-8,0.0
t18,11.834682574187703,0.0016153004090257309,64.08837831944356,5.717164489410145,3.9588976500036736e-5,0.0,0.0,0.0,0.0,0.0,3.9380790647287115e-5,0.0,0.0,3.0440000000000005,6.549280361438887e-8,3.459013762331528e-8,6.55121674463157e-8,35.006,6.100720421590195e-8,0.0
t19,16.905828474866265,0.0016780828755608612,88.11483218411149,5.716934025910794,0.0,0.0,0.0,3.9584405980234476e-5,0.0,0.0,3.9376241841879914e-5,0.0,0.0,3.0440000000000005,6.549280361438887e-8,3.459013762331528e-8,6.55121674463157e-8,35.006,6.100720421590195e-8,0.0
t20,21.97706635397576,0.0017160505184827713,112.14123642091266,5.716883151507751,0.0,0.0,0.0,0.0,0.0,0.0,3.937567079363501e-5,0.0,3.958387887472845e-5,3.0440000000000005,6.549280361438887e-8,3.459013762331528e-8,6.55121674463157e-8,35.006,6.100720421590195e-8,0.0
