BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,VRE_Storage_Discharge,VRE_Storage_Charge
t7715,229.72370766205225,70.00000105490238,-101.70061745418272,0.0,0.0,0.0,4.6853710478397304e-11,0.0,0.0,-66.0,63.34162268463303,-65.62162255904121
t7716,227.72550567666127,3.8588328335104545e-6,-168.4454977315364,0.0,0.0,0.0,4.68537104157255e-11,0.0,0.0,-57.0,60.7814379398164,-63.0614378110961
t7717,228.51950726912844,62.31723985196103,-110.95061830419633,0.0,0.0,0.0,4.6853710442328837e-11,0.0,0.0,-55.0,63.341541710978106,-65.621541592178
t7718,227.27579434758624,30.00000296082217,-131.84486713486103,0.0,0.0,0.0,4.685371049540198e-11,0.0,0.0,-59.0,62.117680853176196,-64.39768073507649
t7719,223.8676750493935,4.314427075151371e-6,-130.65121976544162,0.0,0.0,0.0,4.685371076387986e-11,0.0,0.0,-67.0,61.64803706858137,-63.92803694798925
t7720,216.37797415222047,3.0708299272159613e-6,-148.09797603287137,0.0,0.0,0.0,4.685371069169831e-11,0.0,0.0,-76.0,60.781576557066856,-63.061576429207946
t7721,198.04620543155087,120.79666069277224,-60.250615683850484,0.0,0.0,0.0,4.6857006704622726e-11,0.0,0.0,-90.0,63.34205159760397,-65.62205141439594
t7722,197.1586185806676,70.00000041909566,-73.25061593943904,0.0,0.0,0.0,4.6890150689856244e-11,0.0,0.0,-97.0,62.11782646749249,-64.39782623755139
t7723,197.27014273633185,130.35460046946594,-52.250615187133,0.0,0.0,0.0,4.684172459529711e-11,0.0,0.0,-98.0,63.34208694881695,-65.62208677125201
t7724,197.1586186557247,70.00000043726666,-74.2506161519625,0.0,0.0,0.0,4.689015079334184e-11,0.0,0.0,-96.0,62.11784219792031,-64.39784194960399
t7725,197.1338354788028,129.3546003456439,-53.25061522185638,0.0,0.0,0.0,4.684800618982112e-11,0.0,0.0,-97.0,63.342096664135425,-65.62209648518606
t7726,197.2825343676869,70.00000066965833,-73.28061426860404,0.0,0.0,0.0,4.6890150840080315e-11,0.0,0.0,-97.0,62.147847574813255,-64.36785060595449
t7727,197.42503738712261,121.35460127490154,-61.25061482259841,0.0,0.0,0.0,4.675871477119233e-11,0.0,0.0,-89.0,63.34213474626167,-65.62213459628846
t7728,197.58612793254645,70.00000074631583,-86.31061484360579,0.0,0.0,0.0,4.689015068401743e-11,0.0,0.0,-84.0,62.17785409568914,-64.33785641991201
t7729,197.7286309751659,113.3546011389817,-69.25061495019128,0.0,0.0,0.0,4.675600474343606e-11,0.0,0.0,-81.0,63.34213375957073,-65.62213361135903
t7730,197.6728689693831,70.00000063194315,-94.25061601962385,0.0,0.0,0.0,4.689015044353449e-11,0.0,0.0,-76.0,62.11784281065573,-64.39784241441079
t7731,197.79678463147982,104.35460043500132,-78.25061534119124,0.0,0.0,0.0,4.6830098126452735e-11,0.0,0.0,-72.0,63.34209517918993,-65.62209500693581
t7732,197.87113420650599,70.00000059089055,-96.25061642681956,0.0,0.0,0.0,4.689015039979046e-11,0.0,0.0,-74.0,62.11782919907454,-64.39782890505985
t7733,197.85874253106903,110.35460028857891,-72.25061543815735,0.0,0.0,0.0,4.683572112601808e-11,0.0,0.0,-78.0,63.342051601429546,-65.6220514286674
t7734,197.7720014908461,70.00000063575209,-86.25061614747679,0.0,0.0,0.0,4.689015064393939e-11,0.0,0.0,-84.0,62.117814760746185,-64.39781434190971
t7735,199.6324311147081,130.3546005787113,-52.250615236913745,0.0,0.0,0.0,4.682513732141089e-11,0.0,0.0,-98.0,63.342023218864156,-65.62202305095197
t7736,210.51207922032344,41.76596941831311,-71.20061589406527,0.0,0.0,0.0,4.689015148294802e-11,0.0,0.0,-103.0,62.1177876993259,-64.39778750631194
t7737,226.82769804134256,80.00000093477118,-71.15061580851474,0.0,0.0,0.0,4.689015075007011e-11,0.0,0.0,-94.0,63.3419109815988,-65.62191082000163
t7738,228.7632959410512,37.10011517205678,-107.44141432766632,0.0,0.0,0.0,4.6890150601651623e-11,0.0,0.0,-86.0,62.11771048646738,-64.39771034344763
