CAISO_Advanced_CCGT_candidate,CAISO_Aero_CT_candidate,CAISO_Reciprocating_Engine_candidate,CAISO_Shed_DR_Tranche1,CAM_CAM_RA_i,CAM_CAM_RA_ii,CAM_CAM_RA_iii,CAM_CPE_RA_i,CAM_CPE_RA_ii,CAM_DR_RA,FishLake,Generic_RA_Only,Greater_Imperial_Geothermal,InState_Biomass,Leapfrog_Power,Northern_California_Geothermal,Ormat_Portfolio,Southern_Nevada_Geothermal,Tierra_Buena,Aquamarine_Westside,Arizona_Solar,Humboldt_Bay_Offshore_Wind,IndianValley_Hydro,Morro_Bay_Offshore_Wind,NW_Ext_Tx_Wind,New_Mexico_Wind,Northern_California_Solar,Northern_California_Wind,Riverside_Palm_Springs_Wind,Riverside_Solar,Wyoming_Wind,Arizona_Li_Battery,CAISO_New_Flow_Battery,CAISO_New_Flow_Battery_12,CAISO_New_Flow_Battery_8,CAISO_New_LDES_Battery_12,CC_Power_GoalLine,CC_Power_Tumbleweed,Generic_4hr_battery_low_cost,Generic_6hr_battery,Generic_6hr_battery_low_cost,Generic_8hr_battery,Generic_8hr_battery_low_cost,Northern_California_Li_Battery,Riverside_Li_Battery,Riverside_West_Pumped_Storage,Tehachapi_Pumped_Storage,GibsonSolar,PutahCreek,Resurgence_Hybrid,WillowSpringsSolar
0,0,0,2.06E-09,0,0,0,0,0,0,0,3.81E-10,2.97E-07,5.06E-08,0,3.00E-07,0,6.93E-07,0,0,0,5.95E-08,0.066699993,2.34E-08,1.59E-07,2.18E-08,0,3.073110365,9.999999989,9.999999993,9.28E-08,9.999999995,7.407034633,8.744755074,7.883108303,1.44E-07,0,0,9.999999983,9.999999973,9.999999976,9.999999967,9.999999971,9.999999995,9.999999995,9.999999773,9.999999773,0,1.50048233,9.999999993,9.999999993
0,0,0,1.94E-09,0,0,0,0,0,0,0,3.76E-10,2.93E-07,4.75E-08,0,2.96E-07,0,6.88E-07,0,0,0,5.61E-08,0.066699988,1.96E-08,1.55E-07,1.57E-08,0,3.097893509,4.999999988,4.999999988,9.47E-08,4.999999995,2.54E-07,2.54E-07,2.54E-07,4.08E-08,0,0,4.99999998,4.999999966,4.999999971,4.999999956,4.999999962,4.999999995,4.999999995,4.999999292,4.999999292,0,1.500000071,4.999999988,4.999999988
0,0,0,1.90E-09,0,0,0,0,0,0,0,3.74E-10,2.91E-07,4.60E-08,0,2.93E-07,0,6.86E-07,0,0,0,5.44E-08,0.066699986,1.79E-08,1.54E-07,1.05E-08,0,3.042131423,9.999999975,9.999999986,1.00E-07,9.999999993,7.87E-08,7.87E-08,7.87E-08,2.89E-08,0,0,9.999999972,9.999999928,9.999999944,9.999999856,9.999999902,9.999999993,9.999999993,6.23E-08,6.23E-08,0,1.499999972,9.999999986,9.999999986
0,0,0,1.87E-09,0,0,0,0,0,0,0,3.73E-10,2.89E-07,4.51E-08,0,2.92E-07,0,6.84E-07,0,0,0,5.34E-08,0.066699984,2.03E-08,1.58E-07,8.19E-09,0,2.825278875,4.999999984,4.999999984,1.04E-07,4.999999992,5.82E-08,5.82E-08,5.82E-08,2.52E-08,0,0,4.999999964,4.999999839,4.999999903,2.33E-05,4.999999633,4.999999992,4.999999992,4.06E-08,4.06E-08,0,1.499999953,4.999999984,4.999999984
0,0,0,1.86E-09,0,0,0,0,0,0,0,3.73E-10,2.88E-07,4.43E-08,0,2.90E-07,0,6.83E-07,0,0,0,5.25E-08,0.066699982,2.31E-08,1.59E-07,6.06E-09,0,2.596034752,9.999999969,9.999999982,1.05E-07,9.99999999,4.80E-08,4.80E-08,4.80E-08,2.29E-08,0,0,9.999999954,9.999996112,9.999999771,3.24E-07,6.51E-07,9.99999999,9.99999999,3.16E-08,3.16E-08,0,1.49999994,9.999999982,9.999999982
0,0,0,1.86E-09,0,0,0,0,0,0,0,3.73E-10,2.87E-07,4.41E-08,0,2.90E-07,0,6.82E-07,0,0,0,5.23E-08,0.066699982,2.06E-08,1.55E-07,4.53E-09,0,2.422552715,4.999999982,4.999999982,1.07E-07,4.99999999,4.66E-08,4.66E-08,4.66E-08,2.25E-08,0,0,4.999999951,2.60E-06,4.9999997,2.76E-07,4.84E-07,4.99999999,4.99999999,3.04E-08,3.04E-08,0,1.499999937,4.999999982,4.999999982
0,0,0,1.86E-09,0,0,0,0,0,0,0,3.73E-10,2.88E-07,4.44E-08,0,2.91E-07,0,6.83E-07,0,0,0,5.26E-08,0.066699983,1.46E-08,1.48E-07,4.30E-09,0,2.348203271,9.99999997,9.999999983,1.08E-07,9.999999991,4.96E-08,4.96E-08,4.96E-08,2.33E-08,0,0,9.999999956,9.999999246,9.999999816,3.95E-07,1.01E-06,9.999999991,9.999999991,3.29E-08,3.29E-08,0,1.499999942,9.999999983,9.999999983
0,0,0,1.86E-09,0,0,0,0,0,0,0,3.73E-10,2.88E-07,4.45E-08,0,2.91E-07,0,6.83E-07,0,0,0,5.27E-08,0.066699983,9.95E-09,1.38E-07,4.22E-09,0,2.149938085,4.999999983,4.999999983,1.08E-07,4.999999991,5.02E-08,5.02E-08,5.02E-08,2.34E-08,0,0,4.999999957,4.999999415,4.999999828,4.29E-07,1.26E-06,4.999999991,4.999999991,3.34E-08,3.34E-08,0,1.499999943,4.999999983,4.999999983
0,0,0,1.87E-09,0,0,0,0,0,0,0,3.73E-10,2.88E-07,4.47E-08,0,2.91E-07,0,6.83E-07,0,0,0,5.29E-08,0.066699983,8.66E-09,1.34E-07,4.16E-09,0,1.99504341,9.999999971,9.999999983,1.08E-07,9.999999991,5.28E-08,5.28E-08,5.28E-08,2.40E-08,0,0,9.999999959,9.999999696,9.999999865,6.61E-07,4.816178666,9.999999991,9.999999991,3.56E-08,3.56E-08,0,1.499999946,9.999999983,9.999999983
0,0,0,1.88E-09,0,0,0,0,0,0,0,3.73E-10,2.89E-07,4.51E-08,0,2.92E-07,0,6.84E-07,0,0,0,5.34E-08,0.066699984,8.07E-09,1.38E-07,4.34E-09,0,1.796778225,4.999999984,4.999999984,1.08E-07,4.999999992,5.84E-08,5.84E-08,5.84E-08,2.53E-08,0,0,4.999999964,4.999999841,4.999999904,0.306965599,4.999999666,4.999999992,4.999999992,4.07E-08,4.07E-08,0,1.499999953,4.999999984,4.999999984
