Resource,GibsonSolar,PutahCreek,Resurgence_Hybrid,WillowSpringsSolar,Total
t125,0.0,1.3526138505907827e-8,1.499999791973192,0.7199997076069119,2.2199995131062424
t126,0.0,6.359344779878758e-9,2.4817168071674992e-8,2.227165180044767e-8,5.3448164652001423e-8
t127,0.0,1.352617957434004e-8,1.4999999395878052,0.7199999345820288,2.2199998876960136
t128,0.0,8.083550013962106e-9,2.4816806467007454e-8,2.2271375692299372e-8,5.5171732173268934e-8
t129,0.0,1.3526160356062535e-8,5.667071582109493e-8,4.4941261601637595e-8,1.1513813777879505e-7
t130,0.0,8.072429157379243e-9,2.481717074901814e-8,2.227165942263501e-8,5.51612593290324e-8
t131,0.0,1.352620034922474e-8,5.236012888302943e-8,4.218702046733246e-8,1.0807334969958663e-7
t132,0.0,1.181871220005831e-8,2.4817226810160312e-8,2.2271705471198573e-8,5.890764448141719e-8
t133,0.0,1.352628426840316e-8,1.4999999223200378,0.7199999138325304,2.219999849678852
t134,0.0,6.59781200858752e-9,2.48172962625428e-8,2.2271757546135793e-8,5.3686865817266115e-8
t135,0.0,1.3526316736098236e-8,1.4999999192431086,0.7199999099838151,2.2199998427532406
t136,0.0,7.03617606808713e-9,2.4817144244000112e-8,2.2271645846696965e-8,5.4124966158784206e-8
t137,0.0,1.3526260811303139e-8,1.4999999029090059,0.7199998890988548,2.2199998055341217
t138,0.0,7.061644336551216e-9,2.481682597568397e-8,2.2271405273458206e-8,5.414987558569339e-8
t139,0.0,1.3526266459356354e-8,1.4999999073672343,0.7199998949149221,2.219999815808423
t140,0.0,7.141375947962051e-9,2.4816858261204143e-8,2.227143151216612e-8,5.422966572133231e-8
t141,0.0,1.3526336470932597e-8,1.4999999084857847,0.7199998964053349,2.219999818417456
t142,0.0,7.27456388576481e-9,2.4816881834523295e-8,2.2271451389462033e-8,5.436289710975014e-8
t143,0.0,1.3526410285176038e-8,1.499999766716582,0.7199996514773125,2.219999431720305
t144,0.0,7.3661665066770455e-9,2.481722287863603e-8,2.2271714111938905e-8,5.4455103497251985e-8
t145,0.0,1.3526500167267752e-8,2.481738504019006e-8,2.227183520848285e-8,6.061572041594066e-8
t146,0.0,1.303676152608652e-8,2.481737528526045e-8,2.227183237198883e-8,6.012596918333581e-8
t147,0.0,1.3526562874879091e-8,2.878587412250154e-8,2.541637289210494e-8,6.772880988948557e-8
t148,0.0,1.0986943248095412e-8,3.397203053934947e-8,2.9375982131666694e-8,7.433495591911158e-8
t149,0.0,1.3526642613987023e-8,7.158346300105175e-8,5.383524638866199e-8,1.3894535200370078e-7
t150,0.0,8.854337109549728e-9,2.481744953951483e-8,2.2271887946526512e-8,5.594367459559107e-8
t151,0.0,1.3526707258479332e-8,1.4999997630574613,0.7199996426569055,2.2199994192410744
t152,0.0,9.000739292485347e-9,2.4817081670162438e-8,2.2271606956375804e-8,5.608942791902359e-8
t153,0.0,1.602754182560117e-8,2.4817333234788365e-8,2.2271801500883165e-8,6.31166765612727e-8
t154,0.0,1.1064558113312789e-8,2.4817604276078435e-8,2.2272000199400654e-8,5.815416258879188e-8
t155,0.0,1.8719298324540524e-8,2.4817200552930645e-8,2.2271682243444962e-8,6.580818112091613e-8
t156,0.0,1.8051634672317315e-8,4.853403826489594e-8,3.966747381137125e-8,1.062531467485845e-7
t157,0.0,1.8052663335286532e-8,4.6423955634655385e-8,3.824642927982465e-8,1.0272304824976657e-7
t158,0.0,1.8052589713570344e-8,7.745788564218802e-8,5.7091525065913394e-8,1.5260200042167177e-7
t159,0.0,1.80525735067356e-8,4.8141810006095356e-8,3.9404934407055626e-8,1.0559931791988657e-7
t160,0.0,1.8051583637185175e-8,2.6976536107055996e-8,2.3995415046837088e-8,6.902353479107826e-8
t161,0.0,1.8051687445550005e-8,3.887231114806632e-7,1.3931249180201842e-7,5.460872907282316e-7
t162,0.0,1.107498935037905e-8,2.481706351475584e-8,2.2271601640098726e-8,5.816365450523361e-8
t163,0.0,1.8051664992765883e-8,3.111814252732292e-7,1.278917394741628e-7,4.5712482974015793e-7
t164,0.0,1.2019123535275583e-8,2.481707239178332e-8,2.2271609802225722e-8,5.910780572928463e-8
t165,0.0,1.8051683113275724e-8,8.994062897511779e-8,6.359753302342967e-8,1.7158984511182318e-7
t166,0.0,1.4726597329461392e-8,2.4817084691941857e-8,2.227162036647277e-8,6.181530238787601e-8
t167,0.0,1.8051695186259866e-8,3.632944484669534e-8,3.1122207336602915e-8,8.550334736955813e-8
t168,0.0,7.243091936826738e-9,2.4817421846945572e-8,2.2271878628349422e-8,5.433239241212173e-8
t169,0.0,2.8972614496480474e-8,2.4817178768668335e-8,2.2271690998705396e-8,7.606148426385421e-8
t170,0.0,3.344425053496297e-8,2.48171371573899e-8,2.227166176954797e-8,8.053304946190083e-8
t171,0.0,2.1386318062118524e-8,4.179373862483062e-8,3.5047737453278706e-8,9.822779414022786e-8
t172,0.0,1.7436526655281612e-8,2.481748972048638e-8,2.227193054569784e-8,6.452594692146583e-8
t173,0.0,2.937268037962161e-8,2.4817425914108556e-8,2.2271879895984173e-8,7.646198618971434e-8
t174,0.0,4.447051326023976e-8,2.481715594921485e-8,2.227167734301134e-8,9.155934655246595e-8
t175,0.0,1.8051914287788643e-8,9.290345385192388e-7,1.7599454158829875e-7,1.1230809943953261e-6
t176,0.0,3.499453994208455e-8,2.4817140850504076e-8,2.2271667644569136e-8,8.208334843715775e-8
t177,0.0,4.3886658313452435e-8,2.4817101548464738e-8,2.227163601982941e-8,9.097539588174659e-8
t178,0.0,4.577525370590282e-8,2.4817174940332252e-8,2.227169294204105e-8,9.286412158827613e-8
t179,0.0,4.8679374587605406e-8,2.4817238849110805e-8,2.2271741371253964e-8,9.576835480797017e-8
t180,0.0,6.487078347259874e-8,2.481744391081956e-8,2.2271897998470917e-8,1.1196012538188923e-7
t181,0.0,8.501072683617657e-8,2.481743925359032e-8,2.2271895462626813e-8,1.321000615523937e-7
t182,0.0,1.1917785605208852e-7,2.4817541231457517e-8,2.227197122610323e-8,1.6626736850964924e-7
t183,0.0,1.2100217138852225e-5,2.4817618083892226e-8,2.2272026334135348e-8,1.2147306783270253e-5
t184,0.0,9.32445205005503e-6,2.4817636770101015e-8,2.2272036204153225e-8,9.371541723029284e-6
t185,0.0,1.8052030919208557e-8,2.1632343913622654e-7,1.083642899077149e-7,3.4273975996315e-7
t186,0.0,1.0960917868345851e-8,2.48175689315265e-8,2.227199451142116e-8,5.805048131129351e-8
t187,0.0,1.8051957483169442e-8,5.245260472445197e-8,4.2247020659858684e-8,1.127515828674801e-7
t188,0.0,1.5294440741068883e-8,2.481758766178044e-8,2.2272008316691886e-8,6.238403671954121e-8
t189,0.0,1.8051940380983408e-8,4.2383783289136197e-8,3.546169024449209e-8,9.589741391461169e-8
t190,0.0,1.3740986162029901e-8,2.4817597803507575e-8,2.227201625195322e-8,6.083060021749069e-8
t191,0.0,2.2154973377563196e-8,2.481763865517045e-8,2.227204258033436e-8,6.9244654613068e-8
