Resource,CAISO_Advanced_CCGT_candidate,CAISO_Aero_CT_candidate,CAISO_Reciprocating_Engine_candidate
t151,1.85554528316582e-6,2.228921457543936e-6,1.6787027381658617
t152,1.5032103591261175e-6,1.7787277242629406e-6,0.00012249254501969927
t153,1.3651099724822616e-6,1.599682785227232e-6,9.219088022194882e-5
t154,1.2943070546148e-6,1.5233464761246846e-6,8.157670482934115e-5
t155,1.2577001640728825e-6,1.4906637993935686e-6,7.681680483905165e-5
t156,1.244874108523645e-6,1.4788998918169917e-6,7.508354623500445e-5
t157,1.2530492005335542e-6,1.4810112152210364e-6,7.564689333919586e-5
t158,1.284824797266037e-6,1.5037440885326166e-6,7.913933848595881e-5
t159,1.3499146887021754e-6,1.565759502954079e-6,8.780682249102252e-5
t160,1.481508564826905e-6,1.723045531041336e-6,0.00011263171030817786
t161,1.8505378630041212e-6,2.1520324010799472e-6,2.370377607983039
t162,2.0853643634318343e-6,2.4176863751332116e-6,2.640047133846694
t163,2.2315449688446234e-6,2.5675021420684965e-6,2.6401359589191036
t164,2.331791978521356e-6,2.656377773379019e-6,2.640177348533294
t165,2.4023269111701526e-6,2.7096554327831863e-6,2.6402022039120245
t166,2.4510114288546015e-6,2.7411083733380865e-6,2.640218314400048
t167,2.4820698749237315e-6,2.758559465100634e-6,2.640228908767198
t168,2.4977974907214896e-6,2.7664192940680483e-6,2.640235817084577
t169,2.4992793886453935e-6,2.766902688647721e-6,2.6402403859649586
t170,2.4866148434405776e-6,2.7600593062635476e-6,2.640242435649106
t171,2.4590337547395978e-6,2.744535755209357e-6,2.640241074004843
t172,2.4146301675900393e-6,2.7165844746734257e-6,2.6402353152433906
t173,2.3498623231012217e-6,2.669368170672853e-6,2.6402237485006244
t174,2.2582311824578345e-6,2.590561174847153e-6,2.6402036025301525
t175,2.1272196788549114e-6,2.4582929750138594e-6,2.640167885753342
t176,1.928564772425778e-6,2.2277874237471172e-6,2.6400869640459983
t177,1.570916738003478e-6,1.767078274741457e-6,0.00012305751664894906
t178,1.4462973964259764e-6,1.5944751064007197e-6,9.381776584548718e-5
t179,1.390162021057097e-6,1.5236284455030076e-6,8.46789868979291e-5
t180,1.3720225003650113e-6,1.4980774471734246e-6,8.24480225696755e-5
t181,1.3850735283185208e-6,1.4968871059897664e-6,8.543696704338383e-5
t182,1.436102278389066e-6,1.5258161083214878e-6,9.704083628104197e-5
t183,1.5585992706238358e-6,1.6104173020240296e-6,0.00014582916912464738
t184,2.0468755289693174e-6,1.828618765238413e-6,2.7087092477516146
t185,0.0014589206962693291,2.5066539288783658e-6,2.750902483777027
t186,0.0014591579315724826,2.8314837691472493e-6,2.750913298388987
t187,0.001459263999560602,3.0205575268408104e-6,2.7509154701285716
t188,0.001459322925453884,3.1336682744555962e-6,2.750913540881414
t189,0.001459355653897639,3.1969709652837544e-6,2.7509084928918255
t190,0.0014593709355590172,3.223254196618731e-6,2.7509003332022495
t191,0.0014593728818670328,3.2175550454762817e-6,2.75088871394782
t192,0.0014593310058851863,3.178966781416208e-6,2.75087401730108
t193,0.0014592625280306722,3.100079080873545e-6,2.750859512965965
t194,0.0014591904631825877,3.058858982729379e-6,2.750858007814866
t195,0.00145911916562241,3.050507061505432e-6,2.750864540290834
t196,0.00145905098229565,3.0724683762997356e-6,2.7508783888944213
t197,0.0014589671271939815,3.0528428985200505e-6,2.7508887475577075
t198,0.0014588584237840367,2.9693272896995796e-6,2.7508930527899453
t199,0.0014586956800033163,2.8009548729549773e-6,2.750890628746089
t200,0.0014583686522984304,2.492554567015654e-6,2.7508758169401824
t201,1.956217841937898e-6,1.8360589322439779e-6,0.00034381735057360834
t202,1.5939324387118355e-6,1.613645331764995e-6,0.00011779837106733494
t203,1.4904963128041406e-6,1.5248186492607273e-6,9.211145788411083e-5
t204,1.4515558402548162e-6,1.4908343813042262e-6,8.49685540883934e-5
t205,1.4520327336936629e-6,1.486552587396333e-6,8.539755324306374e-5
t206,1.4929441393882342e-6,1.5126310166137654e-6,9.430181261876613e-5
t207,1.6055408934307746e-6,1.596467527822183e-6,0.000132459941323852
t208,2.0859479276040155e-6,1.815431751931169e-6,0.0011163056204574321
t209,0.007928064869447336,2.506446470396803e-6,2.7508984382319
t210,0.007928293889194839,2.834802688613248e-6,2.750910017394497
t211,0.007928394780445118,3.0241968215528017e-6,2.7509122066222043
t212,0.007928449370889922,3.135171881513998e-6,2.7509098095133764
t213,0.007928477859688013,3.193590032613699e-6,2.750903753866003
t214,0.007928488797187196,3.211372934756441e-6,2.7508940205252785
t215,0.007928487158431984,3.191974418084805e-6,2.750880587753636
t216,0.00792844798754424,3.1316265070549766e-6,2.750865320752325
t217,0.007928409114712669,3.110503560612037e-6,2.750862930053701
t218,0.007928364396723514,3.0906882206909116e-6,2.75086722476907
t219,0.00792832131106845,3.1057903905170353e-6,2.750878702711473
t220,0.007928271656207206,3.1118493490201596e-6,2.750890890995556
t221,0.007928210497268641,3.0829377345392157e-6,2.7508996170530855
t222,0.007928124693745748,2.992311932731109e-6,2.7509032100306507
t223,0.007927988678571635,2.817967980614863e-6,2.7509010608487054
t224,0.007927703721124587,2.503007682524693e-6,2.7508880859753293
t225,2.0009886899312224e-6,1.8324915983399643e-6,0.0005182982068569754
t226,1.597787525482972e-6,1.607503366526864e-6,0.00012451129221670366
t227,1.491627620532052e-6,1.5196563313551079e-6,9.370599080886724e-5
t228,1.4522563481736573e-6,1.4871052526803717e-6,8.589863816659425e-5
t229,1.4526969212976256e-6,1.4826740147071747e-6,8.633244571216336e-5
t230,1.494309792807625e-6,1.5092049130159024e-6,9.619510033982259e-5
t231,1.610606636157579e-6,1.5962464718639624e-6,0.00014374611577363692
t232,2.1241368884536134e-6,1.8172318975673223e-6,2.718654520233647
t233,0.009892386932565386,2.5198930807850794e-6,2.750904272069124
t234,0.009892600114458494,2.8525138937969654e-6,2.7509146210877344
t235,0.009892691968515081,3.0450509948580513e-6,2.7509165504527293
t236,0.009892739126773733,3.1587866896729647e-6,2.7509144036071285
t237,0.009892760335283019,3.2199918986093476e-6,2.750909066439984
t238,0.009892763445766234,3.2409712657754636e-6,2.7509004054532866
t239,0.009892753320789937,3.2257064656269394e-6,2.750887859931224
t240,0.009892688798263735,3.171341374944414e-6,2.750871663661707
t241,0.009892609133571496,3.0999017177395673e-6,2.7508595556172057
t242,0.009892527100745868,3.0614639625551464e-6,2.7508591927982557
t243,0.009892446068171449,3.0495673736402444e-6,2.7508658525842655
t244,0.00989236825096226,3.061702892160519e-6,2.7508781722126727
t245,0.00989228176302591,3.0566438243041516e-6,2.750889796932333
t246,0.009892172784762008,2.981316417602049e-6,2.750894784926299
t247,0.00989201165297147,2.8164080102047663e-6,2.7508928602816165
t248,0.009891688336148374,2.5071192525293232e-6,2.7508787942452475
t249,1.970804426484041e-6,1.8434512262123951e-6,0.00039840757851937984
t250,1.5804654408850556e-6,1.6096249394181816e-6,0.00011827752470742748
t251,1.4744964499462065e-6,1.5174725934527635e-6,9.137723217213695e-5
t252,1.4346259134110353e-6,1.4818978097510537e-6,8.414465339661004e-5
t253,1.4345521335267167e-6,1.4765006244501458e-6,8.475700125880072e-5
t254,1.4753448887387892e-6,1.50307158740525e-6,9.45864737963852e-5
