Resource,CAISO_Advanced_CCGT_candidate,CAISO_Aero_CT_candidate,CAISO_Reciprocating_Engine_candidate,CAISO_Shed_DR_Tranche1,CAM_CAM_RA_i,CAM_CAM_RA_ii,CAM_CAM_RA_iii,CAM_CPE_RA_i,CAM_CPE_RA_ii,CAM_DR_RA,Generic_RA_Only,Leapfrog_Power,Tierra_Buena,Aquamarine_Westside,Arizona_Solar,Humboldt_Bay_Offshore_Wind,Morro_Bay_Offshore_Wind,NW_Ext_Tx_Wind,New_Mexico_Wind,Northern_California_Solar,Northern_California_Wind,Riverside_Palm_Springs_Wind,Riverside_Solar,Wyoming_Wind,Arizona_Li_Battery,CAISO_New_Flow_Battery,CAISO_New_Flow_Battery_12,CAISO_New_Flow_Battery_8,CAISO_New_LDES_Battery_12,CC_Power_GoalLine,CC_Power_Tumbleweed,Generic_4hr_battery_low_cost,Generic_6hr_battery,Generic_6hr_battery_low_cost,Generic_8hr_battery,Generic_8hr_battery_low_cost,Northern_California_Li_Battery,Riverside_Li_Battery,Riverside_West_Pumped_Storage,Tehachapi_Pumped_Storage,FishLake,Greater_Imperial_Geothermal,InState_Biomass,Northern_California_Geothermal,Ormat_Portfolio,Southern_Nevada_Geothermal,IndianValley_Hydro,GibsonSolar,PutahCreek,Resurgence_Hybrid,WillowSpringsSolar,Total
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.791831746890032e-5,0.0,0.0,0.0,0.0,0.0,0.0,7.515973234376772e-5,7.523880854147416e-5,7.51760241964219e-5,7.16684696900755e-5,7.4930457684351e-5,3.791831746890032e-5,3.791831746890032e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9713460508332773,29.283481763899797,23.65550683717876,53.9108205803567
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.793904936497962e-5,0.0,0.0,0.0,0.0,0.0,0.0,7.529235242449711e-5,7.528438656826575e-5,7.520639783138739e-5,7.173589204928794e-5,7.495728183974706e-5,3.793904936497962e-5,3.793904936497962e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9713460203353969,29.28352275749202,23.655516313632205,53.91087138491842
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.796651251650968e-5,0.0,0.0,0.0,0.0,0.0,0.0,7.526999793285319e-5,7.530539311184893e-5,7.52192933445844e-5,7.169407870169294e-5,7.49728297947209e-5,3.796651251650968e-5,3.796651251650968e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9713458545438995,29.28355424347092,23.65551344624128,53.91089990538653
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.794216311356792e-5,0.0,0.0,0.0,0.0,0.0,0.0,7.50847514253127e-5,7.52351419442309e-5,7.518566521675483e-5,7.15127374964066e-5,7.495203640937017e-5,3.794216311356792e-5,3.794216311356792e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.971346135887823,29.28357585749832,23.655508685838342,53.910916476046324
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.799576157271286e-5,0.0,0.0,0.0,0.0,0.0,0.0,7.483958582350466e-5,7.52446114896499e-5,7.519024219169816e-5,7.132874465319141e-5,7.497018439777902e-5,3.799576157271286e-5,3.799576157271286e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9713455267932837,29.283586067444144,23.655504001734403,53.91092115662511
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8131155455094196e-5,0.0,0.0,0.0,0.0,0.0,0.0,7.456118684351678e-5,7.535952552378686e-5,7.529636379201166e-5,7.118910067307251e-5,7.50977352568425e-5,3.8131155455094196e-5,3.8131155455094196e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9713448891715588,29.283587246150415,23.655500373652114,53.91091840635254
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11865136369014066,0.0,0.0,0.0,0.0,0.0,0.0,0.00019255271844496693,0.00019527723565430918,0.0001952594177699033,0.00018299736834149506,0.00019485473045605315,0.11865136369014066,0.11865136369014066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9715225545609848,29.28375758853419,23.655673958163884,54.26786913380015
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4209453606074125,0.0,0.0,0.0,0.0,0.0,0.0,0.00020887070204272994,0.00021771019534837276,0.00022084976963521633,0.00019298650364671857,0.000220518133588294,1.4209453606074125,1.4209453606074125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9715109128791706,29.283757374465296,23.65569782165066,58.17486312612162
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4002172362794074,0.0,0.0,0.0,0.0,0.0,0.0,0.0002062527037033274,0.00021768237311509158,0.00022116386285485763,0.00019163655468225373,0.00022096397265876973,1.4002172362794074,1.4002172362794074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9715107316869674,29.283739830531943,23.655700832402513,58.112660802926655
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1538593657765868,0.0,0.0,0.0,0.0,0.0,0.0,0.00020297758164795974,0.0002165908349133095,0.00022066511727521085,0.00018950226518967233,0.00022062099082134648,1.1538593657765868,1.1538593657765868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9715105684165402,29.283714324010415,23.65570348723842,57.37355683378498
