BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,VRE_Storage_Discharge,VRE_Storage_Charge,Market_Buy,Market_Sell,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,VRE_Storage_Discharge,VRE_Storage_Charge,Market_Buy,Market_Sell
t19,16.704795985819445,32.091858254270306,-0.0004859284448627913,0.0,0.0,0.0,6.213217002883795e-7,49.99998955917515,-0.0,-101.0,56.11419478074233,-53.91033465191183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99998955917515,-0.0,-0.0,0.0,0.0,0.0,49.99998955917515
t20,19.767648626451134,29.029005954824342,-0.00048629345880812414,0.0,0.0,0.0,6.213116421357215e-7,49.99998517685106,-0.0,-101.0,56.11424511471402,-53.91038509145962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99998517685106,-0.0,-0.0,0.0,0.0,0.0,49.99998517685106
t21,22.830454488485714,23.966200062625326,-0.0004863611304352294,0.0,0.0,0.0,6.213031369263932e-7,49.999989934739865,-0.0,-99.0,56.11427341930724,-53.9104135442561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.999989934739865,-0.0,-0.0,0.0,0.0,0.0,49.999989934739865
t22,25.89315081137699,24.903503107695393,-0.00048579682183277895,0.0,0.0,0.0,6.213048199449115e-7,49.999985552526574,-0.0,-103.0,56.114290492290614,-53.91043067922449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.999985552526574,-0.0,-0.0,0.0,0.0,0.0,49.999985552526574
t23,28.623195470163182,14.173458345562896,-0.00048556065327396173,0.0,0.0,0.0,6.21293600143074e-7,49.999990273007406,-0.0,-95.0,56.11429506767474,-53.91043559597183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.999990273007406,-0.0,-0.0,0.0,0.0,0.0,49.999990273007406
t24,31.18409067023,3.612564621778134,-0.0004858973784545129,0.0,0.0,0.0,6.212771369742614e-7,49.999985873553086,-0.0,-87.0,56.11429072894606,-53.91043250897408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.999985873553086,-0.0,-0.0,0.0,0.0,0.0,49.999985873553086
t25,30.1542375658968,0.0005741072878040596,-0.3569150325410887,0.0,0.0,0.0,6.173279168362404e-7,49.99998832244637,-0.0,-82.0,56.11308714228639,-53.91095410125906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99998832244637,-0.0,-0.0,0.0,0.0,0.0,49.99998832244637
t26,27.06134832797379,0.0007031703347051567,-4.2638970171264985,0.0,0.0,0.0,6.17976597654467e-7,49.999988761374055,-0.0,-75.0,56.11284086979914,-53.910966108995126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.999988761374055,-0.0,-0.0,0.0,0.0,0.0,49.999988761374055
t27,23.999171925446923,0.0007018811570276607,-4.201709408305237,0.0,0.0,0.0,6.179621869079262e-7,49.99998881220301,-0.0,-72.0,56.11281618758517,-53.91095139462142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99998881220301,-0.0,-0.0,0.0,0.0,0.0,49.99998881220301
t28,21.260086731230267,0.0007056100387647279,-3.4626284541196073,0.0,0.0,0.0,6.179632447308882e-7,49.99998879624615,-0.0,-70.0,56.11279369978256,-53.91092837966538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99998879624615,-0.0,-0.0,0.0,0.0,0.0,49.99998879624615
t29,19.764156596835214,0.03272841546936513,-0.0005677765644529864,0.0,0.0,0.0,6.205873900524426e-7,49.99998571788852,-0.0,-72.0,56.114108497730385,-53.910397962323216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99998571788852,-0.0,-0.0,0.0,0.0,0.0,49.99998571788852
t30,16.702843204908284,9.093803315324289,-0.00047627757536902884,0.0,0.0,0.0,6.212657044222829e-7,49.99999036320405,-0.0,-78.0,56.11416532510117,-53.91030793089463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99999036320405,-0.0,-0.0,0.0,0.0,0.0,49.99999036320405
t31,13.841140310972545,27.955501772172504,-0.00047056057259737264,0.0,0.0,0.0,6.212763862729339e-7,49.9999898421233,-0.0,-94.0,56.11406900599282,-53.9102112420704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.9999898421233,-0.0,-0.0,0.0,0.0,0.0,49.9999898421233
t32,31.17941926345484,1.617609922286892,-0.0003001340508093964,0.0,0.0,0.0,6.211049720184881e-7,49.99998515078166,-0.0,-105.0,66.84759318727902,-44.64428995092793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99998515078166,-0.0,-0.0,0.0,0.0,0.0,49.99998515078166
t33,46.96996837082647,0.00016438873814483157,-2.524408324049293,0.0,0.0,0.0,5.950087089180527e-7,-18.836144071902826,-0.0,-106.0,103.82419807494581,-23.433760973637767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.836144071902826,-0.0,-0.0,0.0,0.0,18.836144071902826,0.0
t34,60.26838765020889,0.0007386460786560281,-5.056677257659231,0.0,0.0,0.0,5.939269736539438e-7,-44.25368462234981,-0.0,-107.0,114.75078782865756,-18.70953026714901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.25368462234981,-0.0,-0.0,0.0,0.0,44.25368462234981,0.0
t35,68.86655642181674,0.0009800674745436399,-25.03986427454622,0.0,0.0,0.0,5.936385720631425e-7,-36.26470188731799,-0.0,-102.0,113.69701866206162,-19.25997152314437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.26470188731799,-0.0,-0.0,0.0,0.0,36.26470188731799,0.0
