Resource,CAISO_Advanced_CCGT_candidate,CAISO_Aero_CT_candidate,CAISO_Reciprocating_Engine_candidate,Total
t24,1.251579780844114e-7,4.5728846957566084e-7,2.753151977405655e-5,2.8113966221716623e-5
t25,1.5037190055823113e-7,4.834742569946021e-7,3.0843247186351624e-5,3.1477093343904455e-5
t26,1.5576763716129779e-7,4.539819934332662e-7,2.0033557529540556e-5,2.064330716013512e-5
t27,1.5899623311607263e-7,4.4183219548217875e-7,1.5968916112256893e-5,1.6569744540855143e-5
t28,1.587218797683945e-7,4.3301914692482776e-7,1.3722599536279687e-5,1.4314340562972909e-5
t29,1.5530391837584492e-7,4.2584176468058256e-7,1.2119873728547651e-5,1.2701019411604078e-5
t30,1.7757644795233554e-7,4.582501516733517e-7,1.2280533517141808e-5,1.2916360116767494e-5
t31,2.276534724142651e-7,5.154763358994612e-7,1.4561772708192967e-5,1.5304902516506693e-5
t32,3.981028447654006e-7,6.19506617436433e-7,2.41601214338022e-5,2.5177730896004035e-5
t33,0.0055372768536380125,9.147453253375236e-7,2.75059089578369,2.7561290873826536
t34,3.69630477058833e-7,5.304628612475089e-7,0.00017608518236181616,0.0001769852757001225
t35,1.4403927780641352e-7,4.3252216412174254e-7,3.067234154210383e-5,3.1248902984031985e-5
t36,9.236140411330445e-8,3.984052658721061e-7,1.6809812766282947e-5,1.730057943626836e-5
t37,6.861194710398853e-8,3.8211673855539687e-7,1.241667808183263e-5,1.2867406767492015e-5
t38,5.444443076493243e-8,3.6769189325662824e-7,9.8729008980368e-6,1.029503722205836e-5
t39,4.4766147687071506e-8,3.455653472178925e-7,7.85493681306873e-6,8.245268307973695e-6
t40,3.753210412685878e-8,3.0622401252868635e-7,6.047147972335653e-6,6.3909040889911985e-6
t41,3.149457832415928e-8,2.48360732757768e-7,4.581836867534145e-6,4.861692178616072e-6
t42,3.815243219500964e-8,3.0930069972526645e-7,6.718635002611156e-6,7.066088134531432e-6
t43,4.5622691633017316e-8,3.496464121135591e-7,9.120313555330867e-6,9.515582659077444e-6
t44,5.3953451197058624e-8,3.795397131316826e-7,1.177723663718982e-5,1.2210729801518561e-5
t45,6.341674999625406e-8,4.0276677970037307e-7,1.478368452822549e-5,1.5249868057922117e-5
t46,7.343422167451887e-8,4.222230755621751e-7,1.8472196567944253e-5,1.8967853865180947e-5
t47,8.32485803626131e-8,4.4086128688826635e-7,2.3109435105483898e-5,2.3633544972734778e-5
t48,1.270583915164008e-7,4.621506740229103e-7,2.798548395982802e-5,2.8574693025367333e-5
t49,1.3792136625190025e-7,4.7144923755995256e-7,2.634751412678812e-5,2.6956884730599973e-5
t50,1.430069328073987e-7,4.5253622025123733e-7,1.850550561903095e-5,1.9101048772089586e-5
t51,1.4531056447880806e-7,4.397490271438279e-7,1.5095883557492565e-5,1.5680943149115202e-5
t52,1.4481623655333166e-7,4.305588041949389e-7,1.3093193776770812e-5,1.3668568817519083e-5
t53,1.4181343216931935e-7,4.2253549549156423e-7,1.153005284679497e-5,1.2094401774455854e-5
t54,1.6491936419975056e-7,4.616142870736037e-7,1.1795421546311223e-5,1.2421955197584576e-5
t55,2.1274367252913398e-7,5.178776191303628e-7,1.3876305187283376e-5,1.4606926478942873e-5
t56,3.7158913304139163e-7,6.209506128187189e-7,2.245896069531257e-5,2.345150044117268e-5
t57,0.007616849179172354,9.213582832279464e-7,2.7505547086063213,2.7581724791437767
t58,3.9121828344671003e-7,5.28253501261833e-7,0.0002157850929340973,0.00021670456471880583
t59,1.508885745621328e-7,4.327932594087882e-7,3.39172510654651e-5,3.450093289943602e-5
t60,9.713542640465174e-8,3.993068802907443e-7,1.795391465862683e-5,1.8450356965322225e-5
t61,7.247755464248413e-8,3.8307867807516034e-7,1.328136736078897e-5,1.3736923593506615e-5
t62,5.774391065710306e-8,3.688587751402967e-7,1.073466266212258e-5,1.116126534791998e-5
t63,4.7686734539984645e-8,3.48295629749339e-7,8.804387835757918e-6,9.200370200047243e-6
