G_20,G_21,G_22,G_23,G_24,G_25,G_26,G_27,G_28,G_29,G_30,G_31,G_48,G_49,G_50,G_51
1.5920527118851169e-9,2.745465120933034e-9,2.6295300006112634e-9,0.0,2.5111153748743224e-9,2.684506247432497e-9,2.4057106875424794e-9,2.743278246803625e-9,2.7454639298535486e-9,3.184944739745602e-9,3.1849319172050365e-9,2.598649317257701e-9,0.0,3.0,90.0,72.0
0.0,2.7928329228993677e-9,2.671773378090963e-9,0.0,2.4994530993105154e-9,2.7329377680219705e-9,2.418459930654913e-9,2.7808607395881503e-9,2.7928381851252216e-9,3.015038586286162e-9,3.18493198258199e-9,2.6445697792884017e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.6273672234657232e-9,0.0,2.4373240450880597e-9,2.6886615217647483e-9,2.360123057337536e-9,0.0,2.7430500856347087e-9,3.184943162076457e-9,3.1849386940158102e-9,2.6176870528945976e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.5933573908013523e-9,0.0,2.4193468716209004e-9,2.6555873270763502e-9,2.399300580502583e-9,0.0,2.704194964016867e-9,3.0413616827712684e-9,3.2753904797319623e-9,2.601971967153832e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.591482006741149e-9,0.0,2.439256482340677e-9,2.6579918353945294e-9,2.4280399806131374e-9,0.0,2.703103269026049e-9,3.184943555387621e-9,3.1849376876534464e-9,2.6178236629007844e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.574053686097105e-9,0.0,2.4323826173102083e-9,2.641031461245084e-9,2.4159924284268885e-9,0.0,2.682638693066058e-9,3.0554072099631053e-9,3.3075500739723388e-9,2.611556564071044e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.6772603847425403e-9,0.0,2.493109291690585e-9,2.7528834893260634e-9,2.4316481112059574e-9,0.0,2.7990245969224426e-9,3.1849435509858283e-9,3.1849378590906935e-9,2.7244812844857392e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.733780823462387e-9,0.0,2.5240976898217718e-9,2.8150444728135317e-9,2.3426079826038117e-9,0.0,2.8632748812642045e-9,3.041868452047819e-9,3.1849361665067626e-9,2.7899376994602486e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.7611272292600628e-9,0.0,2.5846232107625573e-9,2.846895227678018e-9,2.257029902567062e-9,0.0,2.89481900479915e-9,3.1849439864478922e-9,3.184936728080948e-9,2.8231453559902897e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.7826528261202075e-9,0.0,2.638834028087157e-9,2.87169963178337e-9,2.118095892688453e-9,0.0,2.9199358010910074e-9,3.0647688917647482e-9,3.1849374765883745e-9,2.8481479850283603e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.786382182017093e-9,0.0,2.614163431999938e-9,2.874888422051219e-9,1.946998101746836e-9,0.0,2.924318306910227e-9,3.1849443615281198e-9,3.1849367340359806e-9,2.853521731394405e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.778772331329554e-9,0.0,2.5041550535622014e-9,2.863813582679571e-9,1.909938588121041e-9,0.0,2.915372142899957e-9,3.062874803941413e-9,3.184934577689316e-9,2.845190913241717e-9,0.0,3.0,90.0,72.0
