Resource,CAISO_Advanced_CCGT_candidate,CAISO_Aero_CT_candidate,CAISO_Reciprocating_Engine_candidate,CAISO_Shed_DR_Tranche1,CAM_CAM_RA_i,CAM_CAM_RA_ii,CAM_CAM_RA_iii,CAM_CPE_RA_i,CAM_CPE_RA_ii,CAM_DR_RA,Generic_RA_Only,Leapfrog_Power,Tierra_Buena,Aquamarine_Westside,Arizona_Solar,Humboldt_Bay_Offshore_Wind,Morro_Bay_Offshore_Wind,NW_Ext_Tx_Wind,New_Mexico_Wind,Northern_California_Solar,Northern_California_Wind,Riverside_Palm_Springs_Wind,Riverside_Solar,Wyoming_Wind,Arizona_Li_Battery,CAISO_New_Flow_Battery,CAISO_New_Flow_Battery_12,CAISO_New_Flow_Battery_8,CAISO_New_LDES_Battery_12,CC_Power_GoalLine,CC_Power_Tumbleweed,Generic_4hr_battery_low_cost,Generic_6hr_battery,Generic_6hr_battery_low_cost,Generic_8hr_battery,Generic_8hr_battery_low_cost,Northern_California_Li_Battery,Riverside_Li_Battery,Riverside_West_Pumped_Storage,Tehachapi_Pumped_Storage,FishLake,Greater_Imperial_Geothermal,InState_Biomass,Northern_California_Geothermal,Ormat_Portfolio,Southern_Nevada_Geothermal,IndianValley_Hydro,GibsonSolar,PutahCreek,Resurgence_Hybrid,WillowSpringsSolar,Total
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4134461351199692e-5,6.800431366653776e-6,0.0,1.3238712750005962e-5,1.4756798713317103e-5,0.0,1.396044717668012e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.289085135785665e-5
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4578147535446569e-5,7.44429519593735e-6,0.0,1.33612147561137e-5,1.5133409177640357e-5,0.0,1.5009732469797216e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.55267991349352e-5
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4908034632932613e-5,7.414596128126884e-6,0.0,1.3494147993828103e-5,1.493528978385589e-5,0.0,1.5815689645188155e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.656775818393164e-5
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4889979280525827e-5,6.384576860465468e-6,0.0,1.3545630833368707e-5,1.4484746703980148e-5,0.0,1.6095699473434388e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.540063315177453e-5
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4945234047484877e-5,4.984088225516714e-6,0.0,1.3430257084617163e-5,1.4643272113985233e-5,0.0,1.6431165729783906e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.44340172013879e-5
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5128190583260892e-5,4.214413306282777e-6,0.0,1.2946950018243792e-5,1.425551563279533e-5,0.0,1.666262271012396e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.320769225070676e-5
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6416899575568814e-5,3.4161168957022155e-6,0.0,1.30919249036271e-5,1.5352792841335527e-5,0.0,1.830234355679387e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.658007777302752e-5
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6108436385713283e-5,2.675472015512981e-6,0.0,1.2450320526772094e-5,1.5830593229098056e-5,0.0,1.8144261770714874e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.52090839278113e-5
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.580207668975397e-5,2.551377812490406e-6,0.0,1.2212116244107223e-5,1.545716097463024e-5,0.0,1.8152211446225944e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.417494316720779e-5
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5343298407280597e-5,2.5098461003261983e-6,0.0,1.1530375396540235e-5,1.53867325127676e-5,0.0,1.8159549157223222e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.292980157413786e-5
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44659649605788e-5,2.450592437806553e-6,0.0,1.0630638991335024e-5,1.418345026269803e-5,0.0,1.710727699206518e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.883792364448359e-5
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4427190130860714e-5,2.527881318801645e-6,0.0,9.821565820979305e-6,1.3233881153382112e-5,0.0,1.6813393478907758e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.682391190293153e-5
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98778877160289e-5,0.0,0.0,1.4444343905672883e-5,2.568691509288872e-6,0.0,8.512624430096459e-6,1.3148990177165172e-5,1.991174957305386e-5,1.6813847310630882e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.527813462193703e-5
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.140552492595042e-6,2.0554205420632646e-5,0.0,0.0,1.4483972053681983e-5,2.4059389973476003e-6,5.508084829720765e-6,7.1409848730464085e-6,1.3797146289243557e-5,2.0466707091770786e-5,1.685897318161561e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.572803043429445e-6,9.57021345345943e-6,0.00012649958172654326
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9623798461008164e-5,8.742727916472362e-5,0.0,0.0,2.3647099065248232e-5,2.44283518507868e-6,1.194242665739087e-5,6.345318276371882e-6,2.333620804917097e-5,8.753258639870864e-5,3.505339979184406e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.265293781711676e-5,4.265685415455778e-5,0.00040266074302121964
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.65649878336194e-5,0.00010134645820839006,0.0,0.0,2.259674052153761e-5,2.7705408909776267e-6,5.4225875177152384e-5,3.8057921123383124e-6,2.243075182467895e-5,0.00010150964793353978,3.641925713215844e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9064866920476625e-5,4.9446148342006776e-5,4.9477007378420975e-5,0.0005396580742752969
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8758508230051234e-5,0.00010574941101289953,0.0,0.0,2.18022564929483e-5,3.0932938588877876e-6,8.786815677697861e-5,2.7848439656028356e-6,2.289255463821329e-5,0.0001059711778097494,3.72155967605565e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.158553634390017e-5,5.1614317626174966e-5,0.0005393356535159626
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0373526061520124e-5,0.00010896278329056847,0.0,0.0,2.2690532826736327e-5,3.094975001348609e-6,9.543279763682698e-5,2.5991468566057518e-6,2.5648184564569268e-5,0.0001092052610403016,3.739647518239993e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1793582642748105e-5,5.315613850254408e-5,5.318027020039295e-5,0.0006135336738065623
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1691227163530584e-5,0.00011157499143453833,0.0,0.0,2.3229971452382398e-5,3.1420916101270035e-6,8.590282564671458e-5,2.6938005899671455e-6,2.633195679726979e-5,0.00011182278934995793,3.7392925211215107e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.385822806303941e-5,5.443858923123912e-5,5.445354119105872e-5,0.0006165329377410401
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.140588483953934e-5,0.000110967569942097,0.0,0.0,2.340472021756316e-5,3.4164096072551617e-6,8.651612368817575e-5,2.8339261999623264e-6,2.7183209754135797e-5,0.00011121994326401818,3.68520041697565e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.343878019864012e-5,5.416167207652478e-5,5.417735772994092e-5,0.0006155776016876091
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.934455876792754e-5,0.00010675823451763988,0.0,0.0,2.3536456668650343e-5,3.7333815846820146e-6,8.798947897611291e-5,2.691870013322479e-6,2.737408952269502e-5,0.00010697975499596168,3.6531261117609685e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0366946675156965e-5,5.2144494903473055e-5,5.217814928899145e-5,0.0005996286770322231
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4239592032369046e-5,9.631671320221163e-5,0.0,0.0,2.4559786760637315e-5,3.861647042649592e-6,7.884734007825367e-5,3.477621040782252e-6,2.4333774115863634e-5,9.660628537844218e-5,3.6033796805246253e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6185117217757696e-5,4.714780306849064e-5,4.715422387344148e-5,0.0005487637006161455
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.081266862967283e-6,1.9987282729234945e-5,0.0,0.0,1.483867143274701e-5,4.511147726257554e-6,1.65830880413949e-5,4.328935590690908e-6,1.3389871358006162e-5,2.011966691028988e-5,1.689509832657262e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.352892412222258e-6,9.47860250346455e-6,9.480987717937595e-6,0.00014504751161178566
