Constraint,CapRes_1
t371,9.019352198628104e-10
t372,1.1834655986027458e-9
t373,9.424142506232284e-10
t374,1.1576338583545445e-9
t375,9.533146065275768e-10
t376,1.1632849735152386e-9
t377,9.271104795182461e-10
t378,1.2262345784897026e-9
t379,9.315497357751221e-10
t380,1.2501327666106223e-9
t381,9.402443257661657e-10
t382,1.2463926041172953e-9
t383,9.52736995824297e-10
t384,1.3669848654257726e-9
t385,1.0670934483126028e-9
t386,1.3864076721299234e-9
t387,1.151590655825793e-9
t388,1.4465099547974867e-9
t389,1.07723804361953e-9
t390,1.216527254827403e-9
t391,9.219871569887652e-10
t392,1.3453443431753389e-9
t393,1.0193792314432043e-9
t394,1.3048204898188898e-9
t395,1.0051213032690953e-9
t396,1.2871881399930727e-9
t397,1.1945807180936429e-9
t398,1.341212255390392e-9
t399,1.0038995418686827e-9
t400,2.0386586412590804e-9
t401,9.295367417265074e-10
t402,1.2330074271164256e-9
t403,9.421350700837018e-10
t404,1.2282484219940026e-9
t405,9.310829657226878e-10
t406,1.2311909598885845e-9
t407,1.067310142654744e-9
t408,1.4433321862174754e-9
t409,1.2950187627782344e-9
t410,1.4157606547244883e-9
t411,1.288919322990181e-9
t412,1.5190012068532697e-9
t413,1.1404568168381992e-9
t414,1.4161705362926232e-9
t415,1.0012444077547565e-9
t416,1.196474334817067e-9
t417,8.822624402986449e-10
t418,1.1889603973439465e-9
t419,9.14568247800023e-10
t420,1.3038594941033765e-9
t421,9.561097613962493e-10
t422,1.1845728132885313e-9
t423,1.0057477500516732e-9
t424,1.3070464625644412e-9
t425,1.0549523648971325e-9
t426,1.2339813861256704e-9
t427,9.25766536357884e-10
t428,1.2381734376977073e-9
t429,9.318274753239691e-10
t430,1.3753429770367801e-9
t431,1.0742298606522926e-9
t432,1.4036610677443818e-9
t433,1.10447223650228e-9
t434,1.5192119694787299e-9
t435,1.139898011129218e-9
t436,1.410341483402134e-9
t437,1.1405750812527218e-9
t438,1.4194034481884624e-9
t439,1.085809822364906e-9
t440,1.3777359565778784e-9
t441,9.01152033965689e-10
t442,1.1827095239944472e-9
t443,9.279149789379454e-10
t444,1.1998164072283347e-9
t445,9.74653913896168e-10
t446,1.1904161882381346e-9
t447,9.677386575083364e-10
t448,1.1996702200126778e-9
t449,9.99563911823345e-10
t450,1.247533549323249e-9
t451,9.397533437917936e-10
t452,1.2211028361796118e-9
t453,9.082940780442029e-10
t454,1.2389544251248148e-9
t455,1.0750333614537456e-9
t456,1.3907466383951723e-9
t457,1.2361252093350263e-9
t458,1.348003804265734e-9
t459,1.0577595108690957e-9
t460,1.3416856691401427e-9
t461,1.0577914994446725e-9
t462,1.2134959684091138e-9
t463,9.36181022675746e-10
t464,1.2117626673341855e-9
t465,9.125824467266052e-10
t466,1.1441550127998647e-9
t467,9.79837714571107e-10
t468,1.2235600378020502e-9
t469,1.0236822610428351e-9
t470,1.2407904358056832e-9
t471,1.0424242255197138e-9
t472,1.1639344865498519e-9
t473,9.571048752396066e-10
t474,1.1928809608981786e-9
t475,9.345075594757912e-10
t476,1.1947247300462309e-9
t477,9.291577000381466e-10
t478,1.1907276931185494e-9
t479,9.535044825272677e-10
t480,1.2071808202428947e-9
t481,1.033683171695266e-9
t482,1.214393436217531e-9
t483,1.0646664215990334e-9
t484,1.431703468705707e-9
t485,1.0001298924909594e-9
t486,1.2080202645803187e-9
t487,9.361942689612678e-10
t488,1.2100727781032198e-9
t489,1.060848024552364e-9
t490,1.296257142226968e-9
t491,1.0537657606163353e-9
t492,1.3261995431501627e-9
t493,1.060159911499455e-9
t494,1.4485220968063184e-9
t495,1.9216706342109744e-9
t496,2.0037518137242316e-9
t497,1.043007285189809e-9
t498,1.1967165020999158e-9
t499,9.270922365496692e-10
t500,1.2214177083684874e-9
t501,9.20764805048099e-10
t502,1.20074871915412e-9
t503,9.482228355915433e-10
t504,1.1858641135706715e-9
t505,9.505446062761865e-10
t506,1.2307279658471497e-9
t507,1.0601273333750957e-9
t508,1.3360717284166582e-9
t509,1.07844713737915e-9
t510,1.3340783920319378e-9
t511,9.201473373105996e-10
t512,1.3464686385005746e-9
t513,2.0396129298782425e-9
t514,2.072779104232219e-9
t515,1.9676221534010442e-9
t516,2.009553445964555e-9
t517,1.9326827972394787e-9
t518,2.0030260338137453e-9
t519,1.9464061306454123e-9
t520,2.0398452513506237e-9
t521,1.0568301069003072e-9
t522,1.2423693848582584e-9
t523,9.21210173427774e-10
t524,1.2414943165267993e-9
t525,9.207820850148877e-10
t526,1.3918106434487481e-9
t527,1.1185096279946244e-9
t528,1.37498660976961e-9
t529,9.669842267009708e-10
t530,1.225856206197725e-9
t531,9.77496260441145e-10
t532,1.1978835844980932e-9
t533,9.74746403529117e-10
t534,1.206267417048604e-9
t535,9.378332183965395e-10
t536,1.2107030462965692e-9
