Aquamarine_Westside,Arizona_Solar,Humboldt_Bay_Offshore_Wind,Morro_Bay_Offshore_Wind,NW_Ext_Tx_Wind,New_Mexico_Wind,Northern_California_Solar,Northern_California_Wind,Riverside_Palm_Springs_Wind,Riverside_Solar,Wyoming_Wind,GibsonSolar,PutahCreek,Resurgence_Hybrid,WillowSpringsSolar
0.0,0.0,0.0,0.0,1.6493794167203726e-5,1.1359439884136063e-5,0.0,1.2485826083411803e-5,6.005359686469512e-6,0.0,1.7150798846492217e-6,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.6236485212665275e-5,1.0945014090042963e-5,0.0,1.0470239059223024e-5,3.619221062649133e-6,0.0,1.2569196714305275e-6,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.674920352256505e-5,8.810643873165666e-6,0.0,1.0033456495572732e-5,1.0583444769019078e-6,0.0,9.800260618906184e-7,0.0,0.0,0.0,0.0
0.0,1.3996133183771636e-5,0.0,0.0,1.7560393434147584e-5,7.391041600068522e-6,0.0,8.09978157149776e-6,0.0,0.0,1.026279094551096e-6,0.0,0.0,0.0,0.0
0.0,3.7086315867937434e-5,0.0,0.0,1.7196710596769736e-5,4.959203283897273e-6,2.6316994569206675e-5,6.497877605257664e-6,0.0,3.720447544609961e-5,1.1186613735662927e-6,0.0,0.0,0.0,0.0
1.4081975241775346e-5,3.7323244064313364e-5,0.0,0.0,1.5959313531296775e-5,1.7917574234389079e-6,3.594472484227949e-5,4.78028408430298e-6,0.0,3.737168855260875e-5,8.410357094655053e-7,0.0,0.0,1.81012896600663e-5,0.0
4.359315523316809e-5,9.592157921153871e-5,0.0,0.0,1.6121559345625065e-5,3.1331396420193803e-6,8.990471992537864e-5,3.317049630558411e-6,0.0,9.617674430612576e-5,7.976795329026347e-7,0.0,4.782596459307342e-5,4.812759330263816e-5,4.8091279417405985e-5
4.764583377436793e-5,0.00010397140835141986,0.0,0.0,1.6325899208749863e-5,4.3590447283135815e-6,9.799531433769014e-5,3.920856434581332e-6,0.0,0.00010423580344749622,8.915382259228478e-7,0.0,5.249624201919545e-5,5.229502066583791e-5,5.228199887596929e-5
4.7476502437859835e-5,0.00010364873156088376,0.0,0.0,1.8065682343542875e-5,6.285019598822462e-6,9.812648151134696e-5,5.023049229720652e-6,0.0,0.00010389571005283171,1.405865516331325e-6,0.0,5.387719480642872e-5,5.216348999681486e-5,5.253003496363817e-5
4.5876782060361165e-5,0.00010046458429978261,0.0,0.0,1.8443094131333695e-5,7.606393212935303e-6,9.546962300635393e-5,6.971036539342104e-6,0.0,0.00010069470659504582,2.1039328674557086e-6,0.0,5.2272445658196887e-5,5.0555073144664675e-5,5.089118960199812e-5
